GODKJENNINGSNUMMER,VIRKSOMHETSNAVN,BEDRIFTSNUMMER,ADRESSE,POSTNR,POSTSTED,PRODUKSJONSFORM
VL76,Eide Brandasund As Avd Brandasund,872084142,Brandasundvegen 359,5423,Brandasund,"FFPP-P, FFPP-SA"
T1073,Eide Handel As,971957816,Eidkjosen,9100,Kvaløysletta,"FFPP, FFPP-P, PP"
T2427,Eide Handel Heimelaga,936227228,Innelvvegen 118,9107,Kvaløya,"FFPP, FFPP-P, PP"
F666,Elin Johanne Nilsen,998947936,,9773,Nervei,PP-ST
F763,Ellens Northern Light Fishing Vekve,916228384,Øvreveien 62,9515,Alta,PP-ST
N741,Ellingsen Seafood As Avd Hovedkontor,972718807,Været 2,8320,Skrova,"FFPP, PP, PP-SA, PP-ST"
N742,Ellingsen Seafood As Avd Hovedkontor,972718807,Været 2,8320,Skrova,FFPP-SA
M976,Ellingsøy Klippfisk As,994761447,Kokkervika 11,6057,Ellingsøy,PP-KL
F443,Embla Båtsfjord As,898292592,Nedre Holmen 18,9990,Båtsfjord,PP-ST
N 869,Engeløya Fiskemottak A/L  V/Ståle Kjelstrup,974049899,,8289,Engeløya,"FFPP, PP-ST"
F748,Enk Sverre Hugo Olsen,998193222,Revsneshamn,9624,Revsneshamn,PP-ST
M428,Epax Norway As Avd Ålesund,971655526,Aarsæthervegen 17,6006,Ålesund,PP-MA
VL26,Eplenakkjen Røykeri As,925754196,Apalehaugen23b,5412,Stord,"FFPP-P, PP"
SF917,Ervik Seafood Avd Måløy,921018673,Øyna 41,6700,Måløy,"FFPP-P, PP-SA"
TK426,Espen Danielsen,979328192,Ugleveien 8,3940,Porsgrunn,PP-C
H95,Espevær Røykeri As ,983723624,Espevær,5444,Espevær,"FFPP-P, PP"
T1119,Evald Andreassen,,Sifjord,9395,Kaldfarnes,PP-ST
F466,Even Einarsen,998951070,Mortensnes,9840,Varangerbotn,PP-ST
F348,Even Harald Einarsen,,Mortensnes,9840,Varangerbotn,PP-ST
F687,Evertsen Herleif,978166342,Rakaluftveien 33,9536,Korsfjorden,PP-ST
A234,Faun Pharma As,983386156,Støttumveien 9,1543,Vestby,PP-MA
HE227,Femundfisk As,971960086,Elgå,2446,Elgå,"FFPP, FFPP-P, PP"
AA202,Ferdigmat As,971783176,Holmen 6,4842,Arendal,PP
BU308,Ferskvannsfisk As,994171852,Høgkastveien 24,3531,Krokkleiva,"FFPP, PP"
M2020,Festøy As,985547068,,6174,Barstadvik,"FFPP-P, PP"
VI18,Filetfabrikken As,929388879,Brennaveien 20b,1481,Hagan,FFPP-P
440,Findus Norge As Avd Gro Industrier Fabrikk Hedrum,973100319,Elveveien 110,3271,Larvik,PP
M416,Finefish As Avd Sandshamn,977058333,Sandshamna 91,6089,Sandshamn,"FFPP, FFPP-P, PP"
F706,Finn Hjalmar Seipæjærvi,977436931,Evertsveien 5,9935,Bugøynes,PP-ST
N1073,Finneidfjord Industrier As,812575422,,8642,Finneidsfjord,PP
F738,Finnmarksrøya As,916082061,Ropelv,9900,Kirkenes,"FFPP-P, FFPP-SA"
VA62,Finny Sirevaag As,984260016,Midtbø 1,4420,Åna-Sira,"PP, PP-MA"
VL43,Firda Eir As,926900889,Grimevegen 234,5970,Byrknesøy,FFPP-SA
SF400,Firda Sjøfarmer As Avd Firda Savior,919558229,Kalvøyna 75,5970,Byrknesøy,FFPP-SA
M371,Firmenich Bjørge Biomarin As,972160571,Ellingsøyvegen 920,6057,Ellingsøy,PP-MA
VL70,First Seafood As Avd Godvik,932493721,Leirvikflaten 13,5179,Godvik,FFPP-P
IL6,First Seafood As Avd Kongsvinger,929066294,Stømnervegen 1,2212,Kongsvinger,FFPP-P
AA61,Fiskernes Salgslag,971687347,Storg 2,4876,Grimstad,"FFPP, FFPP-P"
VA94,Fiskesalg As Avd Gravane,973210785,Gravane 8,4610,Kristiansand S,"FFPP, FFPP-P, PP"
VA90,Fjellfisk As,887263752,Gismerøyveien 150,4515,Mandal,"FFPP, FFPP-P, PP"
AG8,Fjord Service Flekkefjord As,916646410,Abelnes 60,4404,Flekkefjord,FFPP-SA
ØF56,Fjordfisk As   Avd Skjærhalden,914474329,Båthavna 12,1680,Skjærhalden,FFPP
