GODKJENNINGSNUMMER,VIRKSOMHETSNAVN,BEDRIFTSNUMMER,ADRESSE,POSTNR,POSTSTED,PRODUKSJONSFORM
FI104,Norsk Kvalitetsmat As,977457343,Gammelmeieriet,6657,Rindal,PP
M461,Norsk Sjømat Stranda As,976586905,Svemorka 26,6200,Stranda,"FFPP-P, PP"
F242,North Cape Food As Avd Gjesvær,931617168,Kobbenesvegen 4,9765,Gjesvær,"FFPP, FFPP-P"
F720,North Cape King Crab As Avd Honningsvåg,972374490,Repvåg 47,9768,Repvåg,"FFPP, FFPP-P"
F2437,North Cape King Crab As Avd Honningsvåg,972374490,Sætervågen 20,9766,Sarnes,FFPP
F807,North Cape King Crab As Avd Honningsvåg,972374490,Vestkaiveien 22,9710,Indre Billefjord,"FFPP, FFPP-P, PP-C"
F633,North Capelin Honningsvåg,876415992,Kobbhullveien 12,9750,Honningsvåg,"FFPP, FFPP-P, PP"
M2259,Northwest Seafood As,929055233,Sørestrandvegen 605,6222,Ikornnes,"FFPP-P, PP"
T1118,Norvald Nicolaisen,980815579,Hågen 17,9446,Grovfjord,PP-ST
A240,Norway King Crab Hub As,914075890,Industrivegen 27,2166,Oppaker,PP-C
F622,Norway King Crab Production As,991795286,Nesseveien 16,9935,Bugøynes,"FFPP, FFPP-P"
F805,Norway King Crab Trollbukt As,915565824,,9740,Lebesby,"FFPP, FFPP-P"
F69,Norway Shrimp As,976273052,,9935,Bugøynes,"FFPP, FFPP-P, PP-C"
R958,Norwegian King Prawns As,919272848,Oddane 2,4364,Sirevåg,FFPP-S
R956,Norwegian King Prawns Farming As,932822679,Oddane 2,4364,Sirevåg,FFPP-S
N263,Notø As,972307734,Barstrandveien 274,8314,Gimsøysand,"PP, PP-ST"
N2413,Nova Sea As Avd Industri,974165716,Naustholmveien 8,8764,Lovund,"FFPP-P, FFPP-SA"
N1041,Nova Sea As Avd Industri,974165716,Naustholmveien ,8764,Lovund,"FFPP-P, FFPP-SA"
TL43,Nutrishell As,926825348,Knarrlagsundveien 325,7241,Ansnes,PP-MA
VI12,Nutritionlab As,918140603,Solgaard Skog 3,1599,Moss,PP-MA
AG10,Nødings Delikatesse,982958792,Sommerkroveien 5a,4515,Mandal,FFPP-P
M212,O Skarsbø As,971766832,Håsundvegen 81,6430,Bud,"FFPP, FFPP-P, PP, PP-KL, PP-SA"
T1179,Odd Isaksen,980918963,Badderen,9162,Sørstraumen,PP-ST
F758,Odd Olsen,978342604,,9587,Skavnakk,PP-ST
M465,Ode Processing As,972123943,Hamnevegen 85,6170,Vartdal,"FFPP-P, FFPP-S, FFPP-SA"
M341,Olav E Fiskerstrand As,971687371,Fiskarstrandvegen 262,6035,Fiskarstrand,"FFPP, FFPP-P, PP-KL, PP-SA"
F653,Olav Nordstrand,,Odden 8,9771,Skjånes,PP-ST
T221,Oldervik Fiskeindustri As,987674032,Oldervikvegen 516,9034,Oldervik,"FFPP, FFPP-P, PP-SA, PP-ST"
T1289,Oldervik Fiskeindustri As,987674032,Oldervikvegen 516,9034,Oldervik,"FFPP, RW"
N1302,Ole Lars Kildal,,Kjeldal 95,8170,Engavågen,PP-ST
T1167,Ole Leon Hanssen,993922447,Dyrøyveien 588,9311,Brøstadbotn,PP-ST
M152,Ole Løvold As,971896965,Langøyneset,6530,Averøy,"FFPP, FFPP-P, PP, PP-KL, PP-SA"
T1116,Ole-Martin Karlsen,,Storbergveien 13,9402,Harstad,PP-ST
T1134,Olsen Arne,873700572,,9161,Burfjord,PP-ST
T1284,Olsen Kystfiske,922557241,Spilderveien 563,9185,Spildra,PP-ST
N2159,Olsen Terje L,970195130,Onøy,8766,Lurøy,PP-ST
N2160,Olsen Terje L,970195130,Onøy,8766,Lurøy,PP-ST
N506,Olsen Yngve As,872236872,Postboks 28,8392,Sørvågen,"FFPP, FFPP-P, PP, PP-SA, PP-ST"
R962,Ombo Fisk As,930355178,Austre Ombovegen 275,4187,Ombo,FFPP
N2396,Oppinor As,931592254,Gamle Skutvik Vei 36,8290,Skutvik,"FFPP, FFPP-P, PP-C"
M2104,Opplæringskonsulent O. Giskeødegård As,994337904,Øygarden,6052,Giske,"FFPP-P, PP"
450,Orkla Foods Norge As Avd Elverum,973088866,Fasanvegen 41,2406,Elverum,PP
ØF485,Orkla Foods Norge As Avd Stabburet Fredrikstad,973072927,Stabburveien 22,1617,Fredrikstad,PP
H100,Orkla Foods Norge As Avd Toro Arna,973163094,Ekrevegen 60,5261,Indre Arna,PP
O98,Orkla Health As  Avd Peter Møller,973062255,Peter Møllers Vei 13,0585,Oslo,PP-MA
N318,Orkla Health Ocean As Avd Ballstad,971714522,Moloveien 95,8373,Ballstad,PP-MA
N143,Orkla Health Ocean As Avd Myre,995085224,Terminalveien 3,8430,Myre,"FFPP-P, PP-MA"
F650,Oskar Kristoffersen,985055920,Raigressveien 1,9516,Alta,PP-ST
A246,Oslo Salmon Processing As Avd. Gardemoen,936316611,Kurillvegen 11,2060,Gardermoen,FFPP-P
N368,Ottar Statle As,873240792,Mortsund,8370,Leknes,PP-MA
SF62,P Stave As,829350602,Postboks 24,6750,Stadlandet,"FFPP, FFPP-P, PP, PP-KL, PP-ST"
F662,Partrederiet Karl Torgeir Ans,978888364,,9773,Nervei,PP-ST
T1201,Pavel Vavrina,998747457,Stajord,9161,Burfjord,PP-ST
M150,Peder B. Sørvik As,971779446,Reksundveien 424,6533,Averøy,"FFPP, PP, PP-KL, PP-SA, PP-ST"
F750,Pedersen Alf Sigurd,972664960,Kvalfjordveien 14,9531,Kvalfjord,PP-ST
R150,Pelagia Egersund Seafood,972323888,Kaupanes,4374,Egersund,"FFPP, FFPP-P, PP"
SF189,Pelagia Kalvåg,971953357,Kalvøyna 10,6729,Kalvåg,"FFPP, FFPP-P, PP, PP-SA"
R13,Pelagia Karmsund Fiskemel,971654945,Husøyvegen 283,4262,Avaldsnes,FFPP
R79,Pelagia Karmøy,972173487,Husøyvegen 265,4262,Avaldsnes,"FFPP, FFPP-P"
M314,Pelagia Liavåg,973167502,Liavaagen,6063,Hjørungavåg,"FFPP, FFPP-P, PP"
N830,Pelagia Lødingen,972349356,Industrivegen 4a,8410,Lødingen,"FFPP, FFPP-P"
SF104,Pelagia Måløy,972231606,Ulvesundvegen 85,6718,Deknepollen,"FFPP, FFPP-P, PP"
SF926,Pelagia Måløy Health,923447768,,6718,Deknepollen,PP-MA
SF72,Pelagia Selje,971935545,Seljevegen 2815,6740,Selje,"FFPP, FFPP-P"
R131,Pelagia Sirevåg,972291005,Oddane 2,4364,Sirevåg,"FFPP, FFPP-P, PP"
T212,Pelagia Tromsø,975357732,Solstrandanlegget Kaldslett,9020,Tromsdalen,"FFPP, FFPP-P, PP"
N1036,Pelagia Træna,971766247,Galtneset,8770,Træna,"FFPP, FFPP-P, MSM, PP"
T1117,Per Inge Eliseussen,,Ibestadveien 362,9453,Kråkrøhamn,PP-ST
N2196,Per-Otto Davidsen,995415631,,8732,Aldra,PP-ST
F664,Pettersen Eivind M,973678868,,9773,Nervei,PP-ST
T1232,Pettersen Steinar,972505021,Dåfjord,9130,Hansnes,PP-ST
O57,Ph Thorstensen As,971781505,Akershusstranda 23,0150,Oslo,"FFPP-P, PP-C, PP-M"
M955,Pharma Marine As,991046127,Terøy Industriområde 3,6280,Søvik,PP-MA
ØF468,Pharmatech As,984388314,Vallehellene 4,1664,Rolvsøy,PP-MA
T1191,Po Myrvoll As,997986962,Melen,9147,Birtavarre,PP-ST
N2141,Polarmat As,919379790,Tonnesveien 299,8750,Tonnes,PP
M2240,Poseidon Frozen As,930502316,Kongshaugstranda 3,6037,Eidsnes,"FFPP-P, RW"
N100,Prestfjord As,973437267,Havnegata 19,8400,Sortland,PP-MA
N45,Prestfjord As,973437267,Havnegata 19,8400,Sortland,PP-MA
M2252,Pretio As,930197270,Fjordgata 50,6005,Ålesund,FFPP-P
R946,Prima Protein As,918842063,Hovlandsveien 64,4374,Egersund,"FFPP, PP-MA"
R947,Prima Seafood As,922018979,Lindøyveien 92,4373,Egersund,"FFPP, FFPP-P, PP"
HE224,Primar As,993948047,Folldal Industriområde,2580,Folldal,"PP, PP-KL"
N2275,Primex Norway As,986662839,Havnegaten 1,8430,Myre,"FFPP, FFPP-P, MSM, PP"
TL56,Produksjonskjøkken,985627576,Ranheimsvegen 91,7060,Charlottenlund,FFPP-P
M2250,Pronofa Møre As,934777964,Årsbogvegen 115,6494,Vevang,"FFPP, PP-M"
M168,Pure Norwegian Seafood As,972277959,Hendnesveien 99,6533,Averøy,"FFPP, FFPP-P, FFPP-S, FFPP-SA"
M426,Rafael Dybvik As,971679034,Tingstadvika 3,6035,Fiskarstrand,"PP-KL, PP-ST"
M36,Ramoen As,971838329,Ystenesgata 6b,6003,Ålesund,PP-MA
TF61,Randi Ree,925402591,Kårhamnsvingen 1,9657,Kårhamn,PP-ST
N2377,Reid Engseth,928700437,Steinslandsveien 6,8754,Øresvik,PP-ST
T1237,Reidar Eilif Pettersen,,Håkøyveien 309,9100,Kvaløysletta,PP-ST
N2256,Reidar Johansen ,978240887,Sperstadveien 34,8187,Jektvik,PP-ST
VA96,Reinhartsen Engros As,995729385,Gravane 8,4610,Kristiansand S,"FFPP, FFPP-P, PP"
T165,Reinøy Sjømat As,985719780,Stakkvik,9132,Stakkvik,"FFPP, FFPP-P, PP, PP-KL, PP-ST"
N2158,Reløy Sigurd M,978204961,Onøy,8766,Lurøy,PP-ST
R107,Rennesøy Fisk Og Skalldyr Mottak,978001092,V/Tor Bernhard Harestad,4158,Bru,FFPP
R92,Rennesøy Reker As,979192479,Daleveien 47,4150,Rennesøy,FFPP
F686,Rita Murberg Henriksen,991723099,Elvebukt 14,9536,Korsfjorden,PP-ST
N2341,Roald Johan Stensland,,Steinslandsveien 100,8754,Øresvik,PP-ST
F715,Roald Wilhelmsen,978564607,Smørfjord,9713,Russenes,PP-ST
M2254,Roaldsnes As,824195862,Nordstrandfjørå 71,6050,Valderøya,PP-MA
TL51,Roan Lakseslakteri As,932446545,Roan Havn 37,7180,Roan,"FFPP-P, FFPP-SA"
T1198,Roger A Pedersen,978050352,Dunvik,9185,Spildra,PP-ST
N1200,Roger Blom,,Kvitnes,8414,Hennes,PP-ST
M190,Romsdal Processing As,989292994,Utsidevegen 21,6475,Midsund,FFPP-P
AG28,Rtka As,930926957,Hestemyrveien 24,4950,Risør,RW
F2429,Rutanord As,927463687,Værveien 48,9770,Mehamn,"FFPP-P, PP, PP-C"
FI130,Røn Gard Da,973309161,,2960,Røn,PP
TL54,Rørosfisk As,933475107,Aursundveien 1272,7372,Glåmos,"FFPP-P, PP"
NT169,Rørvik Fisk As,884084652,Fryseriet,7900,Rørvik,"FFPP, FFPP-P, PP-SA"
NT143,Rørvik Fisk As,884084652,Avd. Vandsøya Postboks 213,7901,Rørvik,"FFPP, FFPP-P"
N2186,Rørvik Fisk As,884084652,Fryseriet,7900,Rørvik,FFPP
NT171,Rørvik Fisk As,884084652,Fryseriet,7900,Rørvik,"FFPP, FFPP-P, PP, RW"
TL 37,Rørvik Fisk As,884084652,Ramstadlandveien 692,7924,Austafjord,FFPP
NT168,Rørvik Fiskemat As,979848374,Nyvegen 62,7900,Rørvik,PP
N559,Røst Fiskeindustri As,972320846,Tyvsøy,8064,Røst,"FFPP, FFPP-P, PP, PP-SA, PP-ST"
N555,Røst Sjømat As,978692370,Tyvsøyveien 1,8064,Røst,"FFPP, FFPP-P, PP, PP-SA, PP-ST"
N560,Røst Trandamperi As,981180437,Gleaveien 6,8064,Røst,PP-MA
F842,S. Skjåvik As,820050002,Masjokdalen 131,9841,Tana,PP-ST
N2315,Safe Track Food As,916786549,Steinesjøveien 73,8470,Bø I Vesterålen,PP-ST
N2285,Sa-Fish As,920292062,Hestøysundet 35,8135,Sørarnøy,FFPP
N717,Saga Fisk As,996723526,H. Chr. Størmers Gate 22,8300,Svolvær,"PP-SA, PP-ST"
N581,Saga Fisk As,996723526,H. Chr. Størmers Gate 22,8300,Svolvær,"FFPP, PP-ST"
N624,Saga Fisk As,996723526,Sauøya 1,8312,Henningsvær,"FFPP, FFPP-P, PP, PP-SA, PP-ST"
N55,Saga Fisk As,996723526,H. Chr. Størmers Gate 22,8300,Svolvær,"FFPP-P, PP-ST"
NT290,Sagamat As,979709994,Smibekkv.2,7717,Steinkjer,PP
T400,Salaks Slakteri As,997721322,Lavangsnesveien 793,9350,Sjøvegan,"FFPP-P, FFPP-SA"
ØF220,Salatmestern As,971629533,Pancoveien 16,1624,Gressvik,PP
ST423,Salmar As,971744502,Industriveien 51,7266,Kverva,"FFPP-P, FFPP-SA, PP"
TF423,Salmar As Avd Slakterianlegg,921886772,Vikaveien 419,9303,Silsand,"FFPP-P, FFPP-SA"
HE2268,Salsus As,813538512,Norvald Strands Veg 162,2212,Kongsvinger,"PP, PP-C"
N950,Salten N950 As,973676040,Arnøyveien 1,8135,Sørarnøy,"FFPP-P, FFPP-SA"
N2304,Salten Salmon As,920315550,Dreyfushammarn 30,8012,Bodø,"FFPP-P, PP"
N2380,Saltenfisk As,932119013,Trålveien 6,8013,Bodø,"FFPP-P, PP, PP-KL"
VL64,Samlaks As,926511483,Leiro 33,5640,Eikelandsosen,FFPP-SA
M962,Sande Sjømat Da,993428809,,6089,Sandshamn,PP
A244,Sanomega E&E As,932869624,Sagaveien 50,1555,Son,PP-MA
H300,Scalmarin As,815798082,Svartevikvegen 5,5337,Rong,FFPP
M294,Scanprod As,984011199,Sætrehamna 9,6050,Valderøya,"FFPP, PP-KL, PP-SA"
T1265,Seabit As,922714347,Tromsøysundvegen 38,9020,Tromsdalen,"PP, PP-ST"
M296,Seafood Farmers Of Norway As,972147958,Blomvika 102,6050,Valderøya,"FFPP-P, PP"
T1078,Seagarden As   Avd Senjahopen,989584758,Mefjordveien 1537,9386,Senjahopen,PP-MA
R12,Seagarden As Avd Avaldsnes,977253179,Husøyvegen 278,4262,Avaldsnes,PP-MA
M2107,Seagems Norway As,920314643,Bjørge Industriveg 41,6057,Ellingsøy,PP-MA
F101,Seagourmet Norway As,994572709,Havnegata 16,9990,Båtsfjord,"FFPP, FFPP-P, PP-C"
ST460,Seashell As,979628536,Strandaveien 25,7273,Norddyrøy,FFPP
H82,Seashore Industri As,972189685,Øklandsvegen 90,5430,Bremnes,"FFPP-P, FFPP-SA, PP"
VL33,Seibas As,930508586,Økland 12,5384,Torangsvåg,"FFPP-P, FFPP-SA"
VL34,Seistar Prosessfartøy As,994212923,Austevollshellevegen 67,5384,Torangsvåg,FFPP-SA
H822,Seistar Prosessfartøy As,994212923,Austevollshellevegen 67,5384,Torangsvåg,FFPP-SA
H815,Seivik As,995410559,Austevollshellevegen 67,5384,Torangsvåg,FFPP-SA
H823,Seivik As,995410559,Austevollshellevegen 67,5384,Torangsvåg,FFPP-SA
H112,Sekkingstad As,972292222,Skaganeset,5382,Skogsvåg,"FFPP-P, FFPP-S, FFPP-SA"
N1098,Seløy Fisk As,990424004,Seløy,8850,Herøy,"FFPP, FFPP-P, PP-SA, PP-ST"
T1100,Servicenord Engros As,971880473,Stangnesterminalen 2f,9409,Harstad,FFPP-P
N152,Sigerfjord Fisk As,972187496,Sigerfjordveien 425,8406,Sortland,"FFPP, FFPP-P, FFPP-SA, PP"
T1120,Sigfred Johannes Olsen,,Kåfjorddalen,9147,Birtavarre,PP-ST
F610,Sigmund Marjavara,,Terje Wolds Gate 22,9803,Vadsø,PP-ST
M155,Sigurd Folland As,971689064,Reksundveien 207,6533,Averøy,FFPP
R68,Sildakongen Produksjon As,972149608,Husøyvegen 163c,4262,Avaldsnes,PP
M2262,Silver Seafood,998996899,Sjøvikvegen 55,6475,Midsund,FFPP
M2166,Silver Seafood,998996899,Strandgata 60,6512,Kristiansund N,FFPP
M2186,Silver Seafood,998996899,Sjøvikvegen 55,6475,Midsund,"FFPP, FFPP-P, PP, PP-C"
T1186,Simon Per Petter Fallmyr,,Stornesveien 368,9402,Harstad,PP-ST
NT145,Sinkaberg Nt145 As,976544366,Marøyvegen 110,7900,Rørvik,"FFPP-P, FFPP-SA"
TL17,Sintef Ocean As,972130931,Brattørkaia 17c,7010,Trondheim,PP-MA
AG18,Sirdal Stun As,928697029,Tonstadveien 9,4440,Tonstad,FFPP-SA
R129,Sirevaag As,974102374,Vågen 42,4364,Sirevåg,"FFPP, FFPP-P, PP"
VT12,Sjøkrepsen As,916887949,Ormeletveien 89,3145,Tjøme,FFPP-P
TF26,Sjøland As,987792175,Håndverkervegen 12,9018,Tromsø,"FFPP, PP"
O209,Sjømat As,982756510,Akershusstranda 23,0150,Oslo,"FFPP, FFPP-P, PP"
O109,Sjømathuset As Avd Produksjon Oslo,986518533,Sven Oftedalsvei 10,0950,Oslo,"FFPP, FFPP-P, PP, PP-C, PP-SA, RW"
SF925,Sjøprodukt As,920424201,Kalvøyna 8,6729,Kalvåg,FFPP-SA
VL19,Sjøprodukt As,920424201,Kalvøyna 8,6729,Kalvåg,FFPP-SA
VL65,Sjøprodukt As,920424201,Kalvøyna 8,6729,Kalvåg,FFPP-SA
VL71,Sjøprodukt As,920424201,Kalvøyna 8,6729,Kalvåg,"FFPP-S, FFPP-SA"
N849,Skaga Processing As,934501330,Korsnesveien 177,8275,Storjorda I Tysfjorden,FFPP-P
BU309,Skarvheimen Fjellfisk Da,985347611,V/Kirsti Skrattegard,3570,Ål,PP
T82,Skjervøy Fisk Og Skalldyr As,913280024,Havnegata 38,9180,Skjervøy,"FFPP, FFPP-P, PP, PP-KL, PP-SA"
F226,Skjånesbruket,974097532,Skjånes Kai,9771,Skjånes,"FFPP, FFPP-P, PP, PP-C, PP-ST"
R88,Skude Fryseri As,971768762,Kaigata 102,4280,Skudeneshavn,"FFPP, PP, PP-C"
SF222,Slakteriet As,971688661,Hamregt 1,6900,Florø,"FFPP-P, FFPP-SA, PP"
SF371,Slakteriet Brekke As,979653514,Sognefjordvegen 47,5961,Brekke,"FFPP-P, FFPP-S, FFPP-SA"
T1187,Slottet Fiskebåtrederi As,984211635,Slottet,9153,Rotsund,PP-ST
OP213,Smakfullt Storkjøkken As,992278528,Damsletta 7,2827,Hunndalen,"FFPP, FFPP-P, MSM, PP, PP-C, PP-KL, PP-M, PP-SA, PP-ST, RW"
TF79,Smalfjord Mottak As,928282112,Masjokdalen 112,9841,Tana,FFPP
H79,Smp Marine Produkter As,972034843,Bøvågen 31,5937,Bøvågen,FFPP-P
F2436,Snefjord Seafood As,835557332,Skavika,9714,Snefjord,"FFPP, FFPP-P, PP-C"
SF98,Snorre Seafood As,979542496,Nedrevegen 158,6710,Raudeberg,"FFPP, FFPP-P, PP, PP-SA"
SF200,Sognefjord Naturkjøkken Drift As,926451944,"Skjær, Sogndal",6879,Solvorn,"FFPP, FFPP-P, PP, PP-C, PP-ST"
F753,Solveig Othilie Berg,,,9586,Loppa,PP-ST
H66,Sotra Fiskeindustri As,972088358,Porsvika 57a,5381,Glesvær,"FFPP-P, FFPP-SA, PP"
T1173,Spindaj,986163034,Dunvik,9185,Spildra,"FFPP, PP, PP-ST"
3012,Ssp Gardermoen,973550136,Edvard Munchs Veg,2060,Gardermoen,PP
F500,Stappan Sjøprodukter,982610524,Kobbenesveien 8,9765,Gjesvær,"FFPP, PP-C, PP-KL, PP-ST"
ST877,Statsnail As,915148522,Steinvikveien 75,7165,Oksvoll,FFPP
T1190,Steffensen Maritim As,986752323,Postboks  203,9189,Skjervøy,PP-ST
N880,Steigen Sjømat As,990072957,Helnessund,8285,Leines,"FFPP, FFPP-P, PP, PP-SA"
F675,Stein Inge Kristiansen,973678833,,9771,Skjånes,PP-ST
N460,Steinar Mikkelsen,978964176,Justadbakken 10,8340,Stamsund,"FFPP, PP, PP-SA, PP-ST"
N304,Steinfjorden Sjømat As,911860929,Eggumsveien,8360,Bøstad,FFPP
N278,Steinfjorden Sjømat As,911860929,Tangstad,8360,Bøstad,"FFPP, FFPP-P, PP, PP-C, PP-SA, PP-ST"
T299,Stella Polaris As,871830312,Kårvikveien 306,9307,Finnsnes,"FFPP, PP-C, PP-MA"
N2336,Sten Ivar Nilsen,,Mærvollveien 187,8360,Bøstad,PP-ST
ST862,Stensaas Reinsdyrslakteri As,971773510,Feragsveien 11,7375,Røros,PP
R111,Sterling Processing As,927492938,Mekjarvik 20,4072,Randaberg,"FFPP-P, PP"
N238,Stiftelsen Tinden Handelsted,919465972,Storgata 30,8430,Myre,PP-ST
F857,Stig Arnt Arvola As,985573255,Blåbærnes,9800,Vadsø,"FFPP, FFPP-P, PP, PP-SA, RW"
VA456,Stolt Sea Farm Turbot Norway As,977359260,Øyesletta 63,4484,Øyestranda,FFPP-S
F791,Storbukt Fiskeindustri As   Avd Tana,975224171,Tanafjordveien 5431,9841,Tana,FFPP
F293,Storbukt Fiskeindustri As Avd Hovedanlegg Honningsvåg,974200201,Nordkappveien 2b,9750,Honningsvåg,"FFPP, PP-C, PP-SA, PP-ST"
F323,Storbukt Fiskeindustri As Avd Hovedanlegg Honningsvåg,974200201,Nordkappveien 2b,9750,Honningsvåg,"FFPP, FFPP-P, PP-C, PP-SA, PP-ST"
F707,Storbukt Fiskeindustri As Avd Vardø,920210376,Havnegata 14,9960,Kiberg,FFPP
N2395,Storvik Gård As,929731107,Osbakken 10,8145,Storvik,"FFPP, PP, PP-ST"
R953,Storøy Tankservice As Avd Kopervik,996273032,Kaien 11,4250,Kopervik,"FFPP-S, FFPP-SA"
T823,Straumvang As,978364888,V/ Arnt K. Simonsen,9455,Engenes,FFPP-P
N918,Strøksnes Utleiebygg As,873717092,Styrkesnes,8264,Engan,FFPP
M162,Strømsholm Fiskeindustri As,874154172,Tømmervåg,6590,Tustna,"FFPP, FFPP-P, PP, PP-KL, PP-SA"
T1112,Ståle Pettersen,,Elvelund 24,9310,Sørreisa,PP-ST
TF107,Sufi As Avd Bergsfjord,932838036,Solveien 38,9580,Bergsfjord,"FFPP, FFPP-P, PP, PP-ST"
N457,Sufi As Avd Sund I Lofoten,975925811,Sundveien 157,8384,Sund I Lofoten,"FFPP, FFPP-P, PP, PP-SA, PP-ST"
N2350,Sufi As Avd Sund I Lofoten,975925811,Flakstadveien 487,8380,Ramberg,"FFPP, FFPP-P, PP, PP-SA, PP-ST"
SF868,Svanøy Røykeri As,972308323,,6914,Svanøybukt,PP
T1189,Svein Asbjørn Berg,,Øvre Baisit 7,9152,Sørkjosen,PP-ST
F849,Svein Eilif Svendsen,,Christian Horsts Vei 15,9790,Kjøllefjord,PP-ST
N2205,Svein Larsen,914287332,Flostrandveien 342,8725,Utskarpen,"FFPP, FFPP-P, PP-SA, PP-ST"
F661,Svend Knutsen,980934071,Langnesveien 343,9540,Talvik,PP-ST
F667,Sverre Pedersen,993913472,Smalfjordveien 111,9845,Tana,PP-ST
IL3,Sykehuset Innlandet Hf,874632562,Anders Sandvigs Gate 17,2609,Lillehammer,FFPP-P
F855,Synnøve Helen Nuth Pedersen,,Kvalfjordveien 11,9531,Kvalfjord,PP-ST
N1065,Sæterstad Gård As,872225382,Sæterstad,8695,Hattfjelldal,"FFPP-P, FFPP-SA, PP"
M2231,Sølvtrans Rederi Ii As,923903046,Skansekaia 4b,6002,Ålesund,FFPP-SA
AG31,Sørlandskrabbe Avd Hæstad,927414651,Kastoddveien 32,4770,Høvåg,PP-C
N2165,Tangen Produkter,987582286,Drag,8270,Drag,"FFPP, PP"
VL2,Taumar As,924657820,Hovlandsvegen 18,5443,Bømlo,FFPP-SA
H819,Taupiri As,920971172,Hovlandsvegen 18,5443,Bømlo,FFPP-SA
H801,Taupo As,920709176,Hovlandsvegen 18,5443,Bømlo,FFPP-SA
VL77,Tauroa As,936422934,Hovlandsvegen 18,5443,Bømlo,FFPP-SA
VL78,Tautiki As,927966050,Hovlandsvegen 18,5443,Bømlo,FFPP-SA
T1171,Terje Solås,,Straumfjordnes,9151,Storslett,PP-ST
TL39,Thai Tham As,920707882,Hallemvegen 20,7715,Steinkjer,PP
N410,The Qrill Company As Avd Stamsund,988364754,J.M.Johansens Vei 99,8340,Stamsund,"PP-C, PP-MA"
N2301,The Qrill Company As Avd Stamsund,988364754,J.M.Johansens Vei 99,8340,Stamsund,"FFPP, PP-MA"
N2173,The Qrill Company As Avd Stamsund,988364754,J.M.Johansens Vei 99,8340,Stamsund,"PP-C, PP-MA"
VL16,Thermo Service As,915561640,Alfabygget,5392,Storebø,FFPP-SA
H805,Thermo Service As,915561640,Alfabygget,5392,Storebø,FFPP-SA
TK429,Thomsen Thor-Olaf,978102948,Ørvikveien 36,3970,Langesund,PP-C
F755,Thor-Svein Berg,,Rektindveien 154,9586,Loppa,PP-ST
N1070,Tindskjær As,920905412,Vågstranda 64,8063,Værøy,"FFPP, PP, PP-ST"
ØF70,Tistedal Delikatesse As,975390594,Georg Feydts  Gate 20,1792,Tistedal,FFPP-P
F352,Tobø Fisk As,974084376,Strandgata 105,9690,Havøysund,"FFPP, FFPP-P, PP, PP-SA"
F478,Tom Egil Hansen,987578904,C/O 4/1/92/3,9935,Bugøynes,PP-ST
F668,Tone Nilsen,,,9773,Nervei,PP-ST
F772,Tor Harald Mikkola,,Hovedveien 29,9760,Nordvågen,PP-ST
F742,Tor Ivar Hauge,,Abelsborg,9840,Varangerbotn,PP-ST
F652,Tor Oskar Mathisen,993664200,Várjjatgeaidnu 42,9840,Varangerbotn,PP-ST
F797,Toralf Pettersen,,Klokkarøya 2,9610,Rypefjord,PP-ST
T1107,Torfinn Hansen,,Smørsgård,9310,Sørreisa,PP-ST
BU200,Torgersen Mat Og Pølsemakeri As,875395882,Stasjonsgata 34,3300,Hokksund,PP
N2184,Torleif Peder Urskog,,,8187,Jektvik,PP-ST
TF62,Torsken Fiskeindustri As,925631248,Værnesveien 105,9381,Torsken,"FFPP, FFPP-P, PP, PP-SA, PP-ST"
N2338,Torstein Grønning,974284146,Straumen 23,8762,Sleneset,PP-ST
T155,Torsvågbruket As,973003070,,9136,Vannareid,"FFPP, FFPP-P, PP-KL, PP-SA, PP-ST"
2701,Trenogmat As,818161042,Kaarbyveien 35,3092,Sundbyfoss,PP
VI1,Troll Salmon As,924205180,Torvuttaket 78,1540,Vestby,"FFPP-P, PP"
H200,Trolltunga Arctic Trout As,982348005,Naustbakken 3,5770,Tyssedal,"FFPP-P, FFPP-SA"
T602,Tromsø Fiskemat As,972258148,Postboks 3366,9276,Tromsø,"FFPP-P, PP, RW"
TF104,Tromsø Sentralkjøkken,928485528,Solstrandveien 1,9020,Tromsdalen,FFPP-P
T1210,Trond Bjørnar Johnsen,896914502,Dorras,9162,Sørstraumen,PP-ST
TF50,Trond Fjellsaune,913246713,Hammarveien 9,9425,Sandsøy,PP-ST
F685,Trond Henriksen,994362542,Elvebukt 14,9536,Korsfjorden,PP-ST
T1158,Trond Hågensen As,978576974,Postboks 286,9189,Skjervøy,PP-ST
F2432,Truls Bjørnar Halvari,973525948,Deanugeaidnu 2199,9843,Tana,PP-ST
N1003,Træna Sjømat As,929720261,,8198,Nordnesøy,FFPP
N2384,Træna Sjømat As,929720261,Flottingveien 26,8770,Træna,"FFPP, FFPP-P, PP, PP-SA"
N1113,Træna Sjømat As,929720261,,8158,Bolga,FFPP
N1001,Træna Sjømat As,929720261,Stongveien 18,8742,Selvær,FFPP
N991,Træna Sjømat As,929720261,Slenesveien 3,8762,Sleneset,FFPP
FI128,Trøsvik Gård V/Audun Trøsvik,978551637,,2967,Lomen,PP
H793,Tubilah As Avd Bømlo,980654206,Stavlandsveien 5,5430,Bremnes,FFPP-S
F377,Tufjordbruket As,989697838,,9670,Tufjord,"FFPP, PP, PP-MA, PP-SA, PP-ST"
F835,Tvedt-Hansen,918144099,Lismaveien 35,9845,Tana,PP-ST
