id,oldPath,newPath,status,candidate_count,candidates
cmoh2g6rb000on60d9de8ckkr,incoming/food-research-process-2026-04-20/03-policy-governance-and-market/f853fed352-utredning-om-prisjusteringsvinduer-2023.pdf,research/evidence-pack/tilsyn/prisjusteringsvinduer-2023.pdf,auto_canonical,3,research/arkiv-sortert/Food Research Process 20.04.26/03_Policy_Governance_And_Market/Utredning-om-prisjusteringsvinduer-2023.pdf | research/arkiv-sortert/Food Research Process 20.04.26/99_Exact_Duplicates/Utredning-om-prisjusteringsvinduer-2023 (1).pdf | research/evidence-pack/tilsyn/prisjusteringsvinduer-2023.pdf
cmoh2g6rz000pn60dvopqiy1s,incoming/food-research-process-2026-04-20/04-food-waste-and-circularity/742d30b62e-100-millioner-br-d-har-blitt-kastet-siden-framtiden-i-vare-hender.pdf,research/arkiv-sortert/Food Research Process 20.04.26/04_Food_Waste_And_Circularity/100 millioner brød har blitt kastet siden… _ Framtiden i våre hender.pdf,auto,1,research/arkiv-sortert/Food Research Process 20.04.26/04_Food_Waste_And_Circularity/100 millioner brød har blitt kastet siden… _ Framtiden i våre hender.pdf
cmoh2g6sf000qn60dj7bp00v1,incoming/food-research-process-2026-04-20/04-food-waste-and-circularity/a96beaeb90-consumer-food-waste-prevention-food-safety-european-commission.pdf,research/arkiv-sortert/Food Research Process 20.04.26/04_Food_Waste_And_Circularity/Consumer food waste prevention - Food Safety - European Commission.pdf,auto,1,research/arkiv-sortert/Food Research Process 20.04.26/04_Food_Waste_And_Circularity/Consumer food waste prevention - Food Safety - European Commission.pdf
cmoh2g6t4000rn60doa1b9w4y,incoming/food-research-process-2026-04-20/04-food-waste-and-circularity/350c203a5c-det-er-mye-penger-a-tjene-pa-matsvinn-framtiden-i-vare-hender.pdf,research/arkiv-sortert/Food Research Process 20.04.26/04_Food_Waste_And_Circularity/Det er mye penger å tjene på matsvinn _ Framtiden i våre hender.pdf,auto,1,research/arkiv-sortert/Food Research Process 20.04.26/04_Food_Waste_And_Circularity/Det er mye penger å tjene på matsvinn _ Framtiden i våre hender.pdf
cmoh2g6tm000sn60d0wya9x7q,incoming/food-research-process-2026-04-20/04-food-waste-and-circularity/3604b45fb6-efficiency-of-a-novel-food-to-waste-to-food-system-including-anaerobic-digestion-of-food-waste-and-cultivation-of-vegetables-on-digestate-in-a-bubble-insulated-greenhouse-sciencedirect.pdf,research/arkiv-sortert/Food Research Process 20.04.26/04_Food_Waste_And_Circularity/Efficiency of a novel “Food to waste to food” system including anaerobic digestion of food waste and cultivation of vegetables on digestate in a bubble-insulated greenhouse - ScienceDirect.pdf,auto,1,research/arkiv-sortert/Food Research Process 20.04.26/04_Food_Waste_And_Circularity/Efficiency of a novel “Food to waste to food” system including anaerobic digestion of food waste and cultivation of vegetables on digestate in a bubble-insulated greenhouse - ScienceDirect.pdf
cmoh2g6u9000tn60dvx39g5ss,incoming/food-research-process-2026-04-20/04-food-waste-and-circularity/417f05987a-endelig-er-matsvinnloven-her-framtiden-i-vare-hender.pdf,research/arkiv-sortert/Food Research Process 20.04.26/04_Food_Waste_And_Circularity/Endelig er matsvinnloven her! _ Framtiden i våre hender.pdf,auto,1,research/arkiv-sortert/Food Research Process 20.04.26/04_Food_Waste_And_Circularity/Endelig er matsvinnloven her! _ Framtiden i våre hender.pdf
cmoh2g6uo000un60dh6xifbi6,incoming/food-research-process-2026-04-20/04-food-waste-and-circularity/ed00c3362c-eu-actions-against-food-waste-food-safety-european-commission.pdf,research/arkiv-sortert/Food Research Process 20.04.26/04_Food_Waste_And_Circularity/EU actions against food waste - Food Safety - European Commission.pdf,auto,1,research/arkiv-sortert/Food Research Process 20.04.26/04_Food_Waste_And_Circularity/EU actions against food waste - Food Safety - European Commission.pdf
cmoh2g6v8000vn60dzwmtna5y,incoming/food-research-process-2026-04-20/04-food-waste-and-circularity/20d75deeda-food-redistribution-in-the-nordic-region.pdf,research/arkiv-sortert/Food Research Process 20.04.26/04_Food_Waste_And_Circularity/Food Redistribution in the Nordic Region.pdf,auto,1,research/arkiv-sortert/Food Research Process 20.04.26/04_Food_Waste_And_Circularity/Food Redistribution in the Nordic Region.pdf
cmoh2g6vm000wn60doot77h68,incoming/food-research-process-2026-04-20/04-food-waste-and-circularity/7b93e3b48a-food-waste-food-safety-european-commission.pdf,research/arkiv-sortert/Food Research Process 20.04.26/04_Food_Waste_And_Circularity/Food Waste - Food Safety - European Commission.pdf,auto,1,research/arkiv-sortert/Food Research Process 20.04.26/04_Food_Waste_And_Circularity/Food Waste - Food Safety - European Commission.pdf
cmoh2g6w1000xn60dwh0rlxvd,incoming/food-research-process-2026-04-20/04-food-waste-and-circularity/74682c696a-food-waste-reduction-corporate-responsibility-and-national-policies-2024.pdf,research/arkiv-sortert/Food Research Process 20.04.26/04_Food_Waste_And_Circularity/Food-waste-reduction-corporate-responsibility-and-national-policies-2024.pdf,auto,1,research/arkiv-sortert/Food Research Process 20.04.26/04_Food_Waste_And_Circularity/Food-waste-reduction-corporate-responsibility-and-national-policies-2024.pdf
cmoh2g6wi000yn60dqkx5xg4w,incoming/food-research-process-2026-04-20/04-food-waste-and-circularity/b0edf55520-home-foodsharing-copenhagen.pdf,research/arkiv-sortert/Food Research Process 20.04.26/04_Food_Waste_And_Circularity/Home - Foodsharing Copenhagen.pdf,auto,1,research/arkiv-sortert/Food Research Process 20.04.26/04_Food_Waste_And_Circularity/Home - Foodsharing Copenhagen.pdf
cmoh2g6x0000zn60d8675yzc0,incoming/food-research-process-2026-04-20/04-food-waste-and-circularity/7aca637a95-home-peelpioneers.pdf,research/arkiv-sortert/Food Research Process 20.04.26/04_Food_Waste_And_Circularity/Home • PeelPioneers.pdf,auto,1,research/arkiv-sortert/Food Research Process 20.04.26/04_Food_Waste_And_Circularity/Home • PeelPioneers.pdf
cmoh2g6xg0010n60dvuldq785,incoming/food-research-process-2026-04-20/04-food-waste-and-circularity/68a9d3818c-lokaverkefni-predicting-household-food-waste-reduction-an-exploratory-study-comparing-and-contrasting-the-theory-of-planned-behavior-and-value-belief-norm-theory-skemman.pdf,research/arkiv-sortert/Food Research Process 20.04.26/04_Food_Waste_And_Circularity/Lokaverkefni_ _Predicting Household Food Waste Reduction_ An exploratory study comparing and contrasting the Theory of Planned Behavior and Value Belief Norm theory_ _ Skemman.pdf,auto,1,research/arkiv-sortert/Food Research Process 20.04.26/04_Food_Waste_And_Circularity/Lokaverkefni_ _Predicting Household Food Waste Reduction_ An exploratory study comparing and contrasting the Theory of Planned Behavior and Value Belief Norm theory_ _ Skemman.pdf
cmoh2g6xx0011n60dvk90a4gt,incoming/food-research-process-2026-04-20/04-food-waste-and-circularity/17957bbc99-policy-commitment-reducing-food-waste-for-a-green-nordic-region-nordic-cooperation.pdf,research/arkiv-sortert/Food Research Process 20.04.26/04_Food_Waste_And_Circularity/Policy commitment_ Reducing food waste for a green Nordic Region _ Nordic cooperation.pdf,auto,1,research/arkiv-sortert/Food Research Process 20.04.26/04_Food_Waste_And_Circularity/Policy commitment_ Reducing food waste for a green Nordic Region _ Nordic cooperation.pdf
cmoh2g6yo0012n60dqi8nh1te,incoming/food-research-process-2026-04-20/04-food-waste-and-circularity/54a1846535-rapport-fra-matsvinnutvalget-anbefalinger-til-helhetlige-tiltak-og-virkemidler-31-12-23.pdf,research/evidence-pack/offentlig/matsvinnutvalget-2024.pdf,auto_canonical,2,research/arkiv-sortert/Food Research Process 20.04.26/04_Food_Waste_And_Circularity/rapport-fra-matsvinnutvalget-anbefalinger-til-helhetlige-tiltak-og-virkemidler-31.12.23.pdf | research/evidence-pack/offentlig/matsvinnutvalget-2024.pdf
cmoh2g6z60013n60d95i0h9ci,incoming/food-research-process-2026-04-20/04-food-waste-and-circularity/49a5e899db-resource-recovery-surplus-bread-thesis.pdf,research/evidence-pack/akademia/brancoli-phd-2021.pdf,auto_canonical,2,research/arkiv-sortert/Food Research Process 20.04.26/04_Food_Waste_And_Circularity/Resource-Recovery-surplus-bread-thesis.pdf | research/evidence-pack/akademia/brancoli-phd-2021.pdf
cmoh2g6zm0014n60d2hiaw8bc,incoming/food-research-process-2026-04-20/04-food-waste-and-circularity/523403f117-response-of-food-waste-anaerobic-digestion-to-the-dimensions-of-micron-biochar-under-30-g-vs-l-organic-loading-rate-focus-on-gas-production-and-microbial-community-structure-sciencedirect.pdf,research/arkiv-sortert/Food Research Process 20.04.26/04_Food_Waste_And_Circularity/Response of food waste anaerobic digestion to the dimensions of micron-biochar under 30 g VS_L organic loading rate_ Focus on gas production and microbial community structure - ScienceDirect.pdf,auto,1,research/arkiv-sortert/Food Research Process 20.04.26/04_Food_Waste_And_Circularity/Response of food waste anaerobic digestion to the dimensions of micron-biochar under 30 g VS_L organic loading rate_ Focus on gas production and microbial community structure - ScienceDirect.pdf
cmoh2g7030015n60dzhfdbirt,incoming/food-research-process-2026-04-20/04-food-waste-and-circularity/39bb397c35-revised-waste-framework-directive-enters-into-force-environment.pdf,research/arkiv-sortert/Food Research Process 20.04.26/04_Food_Waste_And_Circularity/Revised Waste Framework Directive enters into force - Environment.pdf,auto,1,research/arkiv-sortert/Food Research Process 20.04.26/04_Food_Waste_And_Circularity/Revised Waste Framework Directive enters into force - Environment.pdf
