priority,status,candidate,matchedCompanyName,matchedOrgNr,mentions,sourceCount,exampleSources
HIGH,missing_company_record,Planteneers GmbH,,,9,9,Company extraction audit (COMPANY-EXTRACTION-AUDIT.md); DUG Foodtech Declared Bankrupt - Assets Open for Acquisition (evidence-pack/sirkular-konkurser/dug-foodtech/media-vegconomist-2026.md); Hooked Foods closes after 7 years (evidence-pack/sirkular-konkurser/hooked-foods/media-vegconomist.md); Stockeld Dreamery shuts down citing plant-based decline (evidence-pack/sirkular-konkurser/stockeld-dreamery/media-vegconomist.md); Mycorena Files for Bankruptcy Seeks New Ownership (evidence-pack/sirkular-konkurser/mycorena/media-vegconomist-2024.md)
HIGH,missing_company_record,Norge AS,,,12,8,Eiendomsmodellen i norsk dagligvare: Finansiell analyse (analyse/eiendomsmodell-finansiell-analyse.md); Company extraction audit (COMPANY-EXTRACTION-AUDIT.md); Sammendrag: REMA Distribusjon — Logistikkinfrastruktur og Distribusjonsnettverk (bibliotek/verdikjede/rema-distribusjon-logistikk.md); Norsk Bedriftsdata: Granulær Kartlegging av 14 Nøkkelaktører (norden/verdikjede/09-norsk-bedriftsdata.md); docs/superpowers/plans/2026-05-19-data-quality-hardening.md
HIGH,missing_company_record,DUG Foodtech AB,,,11,8,Arkiv-indeks — research/ (ARKIV-INDEX.md); Company extraction audit (COMPANY-EXTRACTION-AUDIT.md); DUG Foodtech AB (tidl. Veg of Lund) konkurs jan 2026 - asset tender (evidence-pack/sirkular-konkurser/dug-foodtech/konkurs-bolagsverket.md); research/ARKIV-INDEX.md; research/evidence-pack/download-backlog-sirkular-konkurser-2026-04-20.csv
HIGH,missing_company_record,Joh. Johannson Eiendom AS,,,8,8,"Akademisk kildeføring, original kildeverk og verifisering — Plan (AKADEMISK-KILDEHANDTERING-PLAN.md); Eiendomsmakt i dagligvaremarkedet i Norge og Norden (arkiv-sortert/Food Research Process 20.04.26/00_Working_Files/deep-research-report (45).md); Eiendomsmakt i dagligvaremarkedet i Norge og Norden (bibliotek/forskningsrunde-2026-04-20/deep-research-draft-45-2026-04-20.md); Eiendomsmakt i dagligvaremarkedet i Norge og Norden (bibliotek/forskningsrunde-2026-04-20/eiendomsmakt-dagligvaremarkedet-norden-2026-04-20.md); research/AKADEMISK-KILDEHANDTERING-PLAN.md"
HIGH,missing_company_record,Geodata AS,,,21,7,"Company extraction audit (COMPANY-EXTRACTION-AUDIT.md); Matørkener og sårbarhet i nordisk kontekst (analyse/food-desert-saarbarhet.md); Food Access, Food Deserts og Lokal HHI: Metoder, Kilder og Datasett for Nordisk og Komparativ Analyse (perpl-17-03/Food Access, Food Deserts og Lokal HHI  Metoder, Kilder og Datasett for Nordisk og Komparativ Analyse.md); Food Access, Food Deserts og Lokal HHI — Nordisk metodikk (norden/food-access-hhi-metodikk.md); research/analyse/food-desert-saarbarhet.md"
HIGH,missing_company_record,Coop Eiendom Sørvest AS,,,13,7,Company extraction audit (COMPANY-EXTRACTION-AUDIT.md); Eiendomsmakt i dagligvaremarkedet i Norge og Norden (arkiv-sortert/Food Research Process 20.04.26/00_Working_Files/deep-research-report (45).md); Eiendomsmakt i dagligvaremarkedet i Norge og Norden (bibliotek/forskningsrunde-2026-04-20/deep-research-draft-45-2026-04-20.md); Eiendomsmakt i dagligvaremarkedet i Norge og Norden (bibliotek/forskningsrunde-2026-04-20/eiendomsmakt-dagligvaremarkedet-norden-2026-04-20.md); research/arkiv-sortert/Food Research Process 20.04.26/00_Working_Files/deep-research-report (45).md
MEDIUM,tracked,Lantmännen Cerealia AS,Lantmännen Cerealia AS,910629085,11,7,"PDF-gjennomgang: Offentlig + tilsyn (tillegg, 2024–2025) (analyse/pdf-gjennomgang-offentlig-2.md); Milep&#xE6;l for norsk beredskap - regjeringen.no (evidence-pack/offentlig/press-id3046671-2024.md); docs/superpowers/plans/2026-05-19-data-quality-hardening.md; research/analyse/pdf-gjennomgang-offentlig-2.md; research/evidence-pack/offentlig/press-id3046671-2024.md"
HIGH,missing_company_record,Bånt AB,,,11,7,Company extraction audit (COMPANY-EXTRACTION-AUDIT.md); Komparativ analyse av nordisk sirkulær mat 2015–2026 (pdf-downloads-20-04-26/deep-research-report (46).md); Komparativ analyse av nordisk sirkulær mat 2015–2026 (pdf-downloads-20-04-26/deep-research-report (41).md); ja (perplexity-20-04-26/konkursanatomi-enorm-mycorena-infarm-v2.md); ja (perplexity-20-04-26/konkursanatomi-enorm-mycorena-infarm.md)
HIGH,missing_company_record,Ljusgaarda AB,,,10,7,Arkiv-indeks — research/ (ARKIV-INDEX.md); Company extraction audit (COMPANY-EXTRACTION-AUDIT.md); Ljusgaarda AB aarsredovisning 2023 (evidence-pack/sirkular-konkurser/ljusgarda/aarsredovisning-2023.md); research/ARKIV-INDEX.md; research/evidence-pack/download-backlog-sirkular-konkurser-2026-04-20.csv
HIGH,missing_company_record,Stockeld Dreamery AB,,,10,7,Arkiv-indeks — research/ (ARKIV-INDEX.md); Company extraction audit (COMPANY-EXTRACTION-AUDIT.md); Stockeld Dreamery AB aarsredovisning siste (evidence-pack/sirkular-konkurser/stockeld-dreamery/aarsredovisning-2023.md); research/ARKIV-INDEX.md; research/evidence-pack/download-backlog-sirkular-konkurser-2026-04-20.csv
