source,ref,entity_type,problem,severity,fix_group,priority,suggested_action
file-coverage,src-119,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""SEC-MAT-PROD-01-havbruk-for.md"" or update SourceDoc.filename to actual location"
file-coverage,src-120,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""SEC-MAT-PROD-02-regenerativt-landbruk.md"" or update SourceDoc.filename to actual location"
file-coverage,src-121,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""SEC-MAT-PROD-03-blaa-biookonomi.md"" or update SourceDoc.filename to actual location"
file-coverage,src-123,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""C02-mat-biomasse-biogass.md"" or update SourceDoc.filename to actual location"
file-coverage,src-124,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""15-nordic-policy-landscape.md"" or update SourceDoc.filename to actual location"
file-coverage,src-125,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""07-horizon-europe-call-analysis.md"" or update SourceDoc.filename to actual location"
file-coverage,src-126,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""19-nordic-added-value.md"" or update SourceDoc.filename to actual location"
file-coverage,src-136,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""research-report-2026-04-20.pdf"" or update SourceDoc.filename to actual location"
file-coverage,src-137,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""norgesgruppen-registreringsdokument-2025.pdf"" or update SourceDoc.filename to actual location"
file-coverage,src-138,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""reitan-eiendom-2024.pdf"" or update SourceDoc.filename to actual location"
file-coverage,src-139,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""prop-33-l-2019-2020.pdf"" or update SourceDoc.filename to actual location"
file-coverage,src-140,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""prop-4-l-2025-2026.pdf"" or update SourceDoc.filename to actual location"
file-coverage,src-141,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""konkurrensverket-2025-5-livsmedel.pdf"" or update SourceDoc.filename to actual location"
