access_date,company,cvr,label,source_type,url,http_status,content_type,local_path,headers_path,sha256,notes
2026-05-18,Salling Group A/S,35954716,salling-group-as-2021-aarsrapport-02,official_annual_report_document,http://regnskaber.virk.dk/61745953/amNsb3VkczovLzAzLzc4LzAwLzk2L2I5L2MxZjctNGE4Zi04MzNlLTkxYzM2YzE5ZjY5Nw.xml,200,text/xml,research/evidence-pack/registry-sources/dk-cvr-2026-05-18/documents/salling-group-as/2021-urn_ofk_oid_32227802-02-aarsrapport.xml,research/evidence-pack/registry-sources/dk-cvr-2026-05-18/headers/salling-group-as-2021-urn_ofk_oid_32227802-02-aarsrapport.headers,03a6f99b5d177f97334ff59e5e07cf12543d880b410410d935867ce44d058b43,period=2021-01-01..2021-12-31; publication=2022-05-03T11:02:09.032Z; hit_id=urn:ofk:oid:32227802
2026-05-18,Salling Group A/S,35954716,salling-group-as-2021-ifrs_extension-03,official_annual_report_document,http://regnskaber.virk.dk/61745953/amNsb3VkczovLzAzL2VmLzM3Lzg5LzQwL2FjNjItNDRjYi04OTMwLTJkY2I5ZWFmODgwOA.zip,200,application/zip,research/evidence-pack/registry-sources/dk-cvr-2026-05-18/documents/salling-group-as/2021-urn_ofk_oid_32227802-03-ifrs_extension.zip,research/evidence-pack/registry-sources/dk-cvr-2026-05-18/headers/salling-group-as-2021-urn_ofk_oid_32227802-03-ifrs_extension.headers,fc623a87acc22b9894c7ccd4216cf45309d8e6681be21a4beae3cec88a7ffe1a,period=2021-01-01..2021-12-31; publication=2022-05-03T11:02:09.032Z; hit_id=urn:ofk:oid:32227802
2026-05-18,Salling Group A/S,35954716,salling-group-as-2020-aarsrapport-01,official_annual_report_document,http://regnskaber.virk.dk/61745953/amNsb3VkczovLzAzL2ZiL2ZkLzc4L2NkLzBlMGItNDIyNC05Mzc5LTIxMWVjODcyNTY2NA.pdf,200,application/pdf,research/evidence-pack/registry-sources/dk-cvr-2026-05-18/documents/salling-group-as/2020-urn_ofk_oid_30418898-01-aarsrapport.pdf,research/evidence-pack/registry-sources/dk-cvr-2026-05-18/headers/salling-group-as-2020-urn_ofk_oid_30418898-01-aarsrapport.headers,8e1105ccea87d70a697c7c78d8e1f4d8cca7e6bb40032c995754a225909f64ff,period=2020-01-01..2020-12-31; publication=2021-04-21T11:00:53.565Z; hit_id=urn:ofk:oid:30418898
2026-05-18,Salling Group A/S,35954716,salling-group-as-2020-aarsrapport-02,official_annual_report_document,http://regnskaber.virk.dk/61745953/amNsb3VkczovLzAzL2ZlL2FlLzdhL2QxLzA3MWQtNDMzOS1iZDI4LTkzOThlNTk4YWM4OA.xml,200,text/xml,research/evidence-pack/registry-sources/dk-cvr-2026-05-18/documents/salling-group-as/2020-urn_ofk_oid_30418898-02-aarsrapport.xml,research/evidence-pack/registry-sources/dk-cvr-2026-05-18/headers/salling-group-as-2020-urn_ofk_oid_30418898-02-aarsrapport.headers,d4da3d87a27f9cbda37088b3ecf5422a02dabc031eabeb80b46f2f9ff2bf624d,period=2020-01-01..2020-12-31; publication=2021-04-21T11:00:53.565Z; hit_id=urn:ofk:oid:30418898
2026-05-18,Salling Group A/S,35954716,salling-group-as-2020-ifrs_extension-03,official_annual_report_document,http://regnskaber.virk.dk/61745953/amNsb3VkczovLzAzLzYxLzc1LzQwL2I3L2RhNDYtNDMxOS1hYThiLTNkYWIzNGFkY2I2NQ.zip,200,application/zip,research/evidence-pack/registry-sources/dk-cvr-2026-05-18/documents/salling-group-as/2020-urn_ofk_oid_30418898-03-ifrs_extension.zip,research/evidence-pack/registry-sources/dk-cvr-2026-05-18/headers/salling-group-as-2020-urn_ofk_oid_30418898-03-ifrs_extension.headers,b30652594b02ac46b4fd7142b8e4c3d704388a9e805cc7fad234517a8d37fc11,period=2020-01-01..2020-12-31; publication=2021-04-21T11:00:53.565Z; hit_id=urn:ofk:oid:30418898
2026-05-18,Salling Group A/S,35954716,salling-group-as-2019-aarsrapport-01,official_annual_report_document,http://regnskaber.virk.dk/61745953/amNsb3VkczovLzAzL2Y1LzY2LzA3LzMwL2FmNTAtNGMzOC1iM2YwLWQ2NTkwZjllZGQ4ZQ.xml,200,text/xml,research/evidence-pack/registry-sources/dk-cvr-2026-05-18/documents/salling-group-as/2019-urn_ofk_oid_28713194-01-aarsrapport.xml,research/evidence-pack/registry-sources/dk-cvr-2026-05-18/headers/salling-group-as-2019-urn_ofk_oid_28713194-01-aarsrapport.headers,2eea98c9cb511ab08cf0eb23d5efdc09b2ca755375220e93afd4ab98a9916f24,period=2019-01-01..2019-12-31; publication=2020-04-29T16:41:29.886Z; hit_id=urn:ofk:oid:28713194
2026-05-18,Salling Group A/S,35954716,salling-group-as-2019-aarsrapport-02,official_annual_report_document,http://regnskaber.virk.dk/61745953/amNsb3VkczovLzAzLzgyL2U4L2I5L2Q5LzIyY2EtNDk2OC05YWFkLTMxNTBhZTMzZjE2Ng.pdf,200,application/pdf,research/evidence-pack/registry-sources/dk-cvr-2026-05-18/documents/salling-group-as/2019-urn_ofk_oid_28713194-02-aarsrapport.pdf,research/evidence-pack/registry-sources/dk-cvr-2026-05-18/headers/salling-group-as-2019-urn_ofk_oid_28713194-02-aarsrapport.headers,382eb232ad67b89ec2435c9f3068b9254f5bbc85764bca03eaf7583c5c9cdcd8,period=2019-01-01..2019-12-31; publication=2020-04-29T16:41:29.886Z; hit_id=urn:ofk:oid:28713194
2026-05-18,Salling Group A/S,35954716,salling-group-as-2019-redegoerelse_for_omgoerelse-03,official_annual_report_document,http://regnskaber.virk.dk/61745953/amNsb3VkczovLzAzLzFkLzE0LzU1Lzc4LzVmMmEtNGM3Zi1hYzI0LTNlMDQ1ZDAzYTY2Yg.pdf,200,application/pdf,research/evidence-pack/registry-sources/dk-cvr-2026-05-18/documents/salling-group-as/2019-urn_ofk_oid_28713194-03-redegoerelse_for_omgoerelse.pdf,research/evidence-pack/registry-sources/dk-cvr-2026-05-18/headers/salling-group-as-2019-urn_ofk_oid_28713194-03-redegoerelse_for_omgoerelse.headers,15ec05c29f5a4a2fcaf170b43c132de4ec938d497c62e8074ede49a384c7b80b,period=2019-01-01..2019-12-31; publication=2020-04-29T16:41:29.886Z; hit_id=urn:ofk:oid:28713194
2026-05-18,Salling Group A/S,35954716,salling-group-as-2019-ifrs_extension-04,official_annual_report_document,http://regnskaber.virk.dk/61745953/amNsb3VkczovLzAzL2U3LzQwL2VmLzc0Lzk4ZmMtNDA2ZC05YTYwLTk2MjVmYjY0N2RmYQ.zip,200,application/zip,research/evidence-pack/registry-sources/dk-cvr-2026-05-18/documents/salling-group-as/2019-urn_ofk_oid_28713194-04-ifrs_extension.zip,research/evidence-pack/registry-sources/dk-cvr-2026-05-18/headers/salling-group-as-2019-urn_ofk_oid_28713194-04-ifrs_extension.headers,bbed4af74be1ee905d8eb79368997480ccd76d8d0d7943f92a88ba0cb567eed2,period=2019-01-01..2019-12-31; publication=2020-04-29T16:41:29.886Z; hit_id=urn:ofk:oid:28713194
2026-05-18,Salling Group A/S,35954716,salling-group-as-2018-ifrs_extension-01,official_annual_report_document,http://regnskaber.virk.dk/61745953/ZG9rdW1lbnRsYWdlcjovLzAzLzRlL2VkLzZjLzRkLzI2NzktNGFmNi1iOWQ3LWE3MmYwNGEwNjZlZg.zip,200,application/zip,research/evidence-pack/registry-sources/dk-cvr-2026-05-18/documents/salling-group-as/2018-urn_ofk_oid_27152548-01-ifrs_extension.zip,research/evidence-pack/registry-sources/dk-cvr-2026-05-18/headers/salling-group-as-2018-urn_ofk_oid_27152548-01-ifrs_extension.headers,acd7d6af651088aa0d2af66d2d4dfcd4f0496c3c07de25f73ac2d52374e4819b,period=2018-01-01..2018-12-31; publication=2019-05-16T06:48:11.399Z; hit_id=urn:ofk:oid:27152548
