Year,NACECode,Industry,Prob,BNPB,LOKO,DRI
1982,A64NP2X03B,Akvakultur,738,267,138,69
1982,A64NP2X10_12,"Nærings-, drikkevare- og tobakksindustri",41517,7444,5633,2749
1982,nr2310,¬¬ Næringsmidler u/fiskeforedling  inkl. drikkevarer og tobakk,34442,5850,4398,2566
1982,nr2312,¬¬ Bearbeiding og konservering av fisk mv,7075,1594,1235,183
1982,nr23_6,Totalt for næringer,685350,358887,191024,107281
1982,pub2X03,"Fiske, fangst og akvakultur",5050,2962,381,2429
1983,A64NP2X01,"Jordbruk, jakt og viltstell",17982,8514,1799,5709
1983,A64NP2X03A,Fiske og fangst,4609,2687,265,2289
1983,A64NP2X03B,Akvakultur,1055,255,217,-40
1983,A64NP2X10_12,"Nærings-, drikkevare- og tobakksindustri",44404,7950,6070,1654
1983,nr2310,¬¬ Næringsmidler u/fiskeforedling  inkl. drikkevarer og tobakk,36475,6181,4757,1402
1983,nr2312,¬¬ Bearbeiding og konservering av fisk mv,7929,1769,1313,252
1983,nr23_6,Totalt for næringer,753885,397880,206923,121694
1983,pub2X03,"Fiske, fangst og akvakultur",5664,2942,482,2249
1984,A64NP2X01,"Jordbruk, jakt og viltstell",20097,10100,1895,7048
1984,A64NP2X03A,Fiske og fangst,4680,2840,279,2527
1984,A64NP2X03B,Akvakultur,1405,364,277,-10
1984,A64NP2X10_12,"Nærings-, drikkevare- og tobakksindustri",47892,8486,6493,1600
1984,nr2310,¬¬ Næringsmidler u/fiskeforedling  inkl. drikkevarer og tobakk,39604,6712,5111,1425
1984,nr2312,¬¬ Bearbeiding og konservering av fisk mv,8288,1774,1382,175
1984,nr23_6,Totalt for næringer,841749,449467,226093,147179
1984,pub2X03,"Fiske, fangst og akvakultur",6085,3204,556,2517
1985,A64NP2X01,"Jordbruk, jakt og viltstell",20990,10193,1959,7142
1985,A64NP2X03A,Fiske og fangst,4920,2861,304,2571
1985,A64NP2X03B,Akvakultur,2206,775,509,145
1985,A64NP2X10_12,"Nærings-, drikkevare- og tobakksindustri",51694,9390,7011,1915
1985,nr2310,¬¬ Næringsmidler u/fiskeforedling  inkl. drikkevarer og tobakk,43224,7614,5593,1780
1985,nr2312,¬¬ Bearbeiding og konservering av fisk mv,8470,1776,1418,135
1985,nr23_6,Totalt for næringer,936307,493162,250740,157613
1985,pub2X03,"Fiske, fangst og akvakultur",7126,3636,813,2716
1986,A64NP2X01,"Jordbruk, jakt og viltstell",22779,11367,2106,7777
1986,A64NP2X03A,Fiske og fangst,5532,3508,335,3093
1986,A64NP2X03B,Akvakultur,2415,760,641,-69
1986,A64NP2X10_12,"Nærings-, drikkevare- og tobakksindustri",57337,10224,7879,2012
1986,nr2310,¬¬ Næringsmidler u/fiskeforedling  inkl. drikkevarer og tobakk,47641,8214,6365,1761
1986,nr2312,¬¬ Bearbeiding og konservering av fisk mv,9696,2010,1514,251
1986,nr23_6,Totalt for næringer,977093,499319,282898,120959
1986,pub2X03,"Fiske, fangst og akvakultur",7947,4268,976,3024
1987,A64NP2X01,"Jordbruk, jakt og viltstell",24864,12198,2226,8361
1987,A64NP2X03A,Fiske og fangst,6237,4060,358,3152
1987,A64NP2X03B,Akvakultur,3239,1120,853,-97
