"næring (SN2007)","materialtype","år","statistikkvariabel","14457: Industriavfall. Generert mengde avfall (1 000 tonn),"
"Petroleums- og kullvareindustri","Blandet avfall","2022","Avfallsmengde",1
"Petroleums- og kullvareindustri","Lett forurensede masser","2015","Avfallsmengde",0
"Petroleums- og kullvareindustri","Lett forurensede masser","2022","Avfallsmengde",0
"Produksjon av kjemiske, farmasøytiske, gummi- og plastprodukter","I alt, uten lett forurensede masser","2015","Avfallsmengde",57
"Produksjon av kjemiske, farmasøytiske, gummi- og plastprodukter","I alt, uten lett forurensede masser","2022","Avfallsmengde",84
"Produksjon av kjemiske, farmasøytiske, gummi- og plastprodukter","Våtorganisk avfall","2015","Avfallsmengde",0
"Produksjon av kjemiske, farmasøytiske, gummi- og plastprodukter","Våtorganisk avfall","2022","Avfallsmengde",0
"Produksjon av kjemiske, farmasøytiske, gummi- og plastprodukter","Park- og hageavfall","2015","Avfallsmengde",0
"Produksjon av kjemiske, farmasøytiske, gummi- og plastprodukter","Park- og hageavfall","2022","Avfallsmengde",0
"Produksjon av kjemiske, farmasøytiske, gummi- og plastprodukter","Treavfall","2015","Avfallsmengde",5
"Produksjon av kjemiske, farmasøytiske, gummi- og plastprodukter","Treavfall","2022","Avfallsmengde",6
"Produksjon av kjemiske, farmasøytiske, gummi- og plastprodukter","Organisk slam, tørrstoff","2015","Avfallsmengde",2
"Produksjon av kjemiske, farmasøytiske, gummi- og plastprodukter","Organisk slam, tørrstoff","2022","Avfallsmengde",1
"Produksjon av kjemiske, farmasøytiske, gummi- og plastprodukter","Papir, papp og kartong","2015","Avfallsmengde",4
"Produksjon av kjemiske, farmasøytiske, gummi- og plastprodukter","Papir, papp og kartong","2022","Avfallsmengde",4
"Produksjon av kjemiske, farmasøytiske, gummi- og plastprodukter","Glass","2015","Avfallsmengde",0
"Produksjon av kjemiske, farmasøytiske, gummi- og plastprodukter","Glass","2022","Avfallsmengde",0
"Produksjon av kjemiske, farmasøytiske, gummi- og plastprodukter","Metall","2015","Avfallsmengde",6
"Produksjon av kjemiske, farmasøytiske, gummi- og plastprodukter","Metall","2022","Avfallsmengde",7
"Produksjon av kjemiske, farmasøytiske, gummi- og plastprodukter","EE-avfall","2015","Avfallsmengde",0
"Produksjon av kjemiske, farmasøytiske, gummi- og plastprodukter","EE-avfall","2022","Avfallsmengde",0
"Produksjon av kjemiske, farmasøytiske, gummi- og plastprodukter","Plast","2015","Avfallsmengde",4
"Produksjon av kjemiske, farmasøytiske, gummi- og plastprodukter","Plast","2022","Avfallsmengde",9
"Produksjon av kjemiske, farmasøytiske, gummi- og plastprodukter","Gummi","2015","Avfallsmengde",0
"Produksjon av kjemiske, farmasøytiske, gummi- og plastprodukter","Gummi","2022","Avfallsmengde",13
"Produksjon av kjemiske, farmasøytiske, gummi- og plastprodukter","Tekstiler","2015","Avfallsmengde",0
"Produksjon av kjemiske, farmasøytiske, gummi- og plastprodukter","Tekstiler","2022","Avfallsmengde",0
"Produksjon av kjemiske, farmasøytiske, gummi- og plastprodukter","Betong og tegl","2015","Avfallsmengde",1
"Produksjon av kjemiske, farmasøytiske, gummi- og plastprodukter","Betong og tegl","2022","Avfallsmengde",4
"Produksjon av kjemiske, farmasøytiske, gummi- og plastprodukter","Slagg, støv, bunnaske, flygeaske","2015","Avfallsmengde",6
"Produksjon av kjemiske, farmasøytiske, gummi- og plastprodukter","Slagg, støv, bunnaske, flygeaske","2022","Avfallsmengde",12
"Produksjon av kjemiske, farmasøytiske, gummi- og plastprodukter","Uorganisk slam, tørrstoff","2015","Avfallsmengde",5
"Produksjon av kjemiske, farmasøytiske, gummi- og plastprodukter","Uorganisk slam, tørrstoff","2022","Avfallsmengde",7
"Produksjon av kjemiske, farmasøytiske, gummi- og plastprodukter","Andre materialer","2015","Avfallsmengde",11
