Year,SourceCode,Source,A10,K11,K12,K13
2011,7.2,Jordbruk - kunstgjødsel og annet,1393,61,3,1329
2012,0,Alle kilder,53118,44235,5453,2340
2012,2,Industri og bergverk,11742,11003,143,416
2012,6,"Luftfart, sjøfart, fiske, motorredskaper m.m.",7489,7305,126,58
2012,7,Jordbruk,4434,65,2697,1673
2012,7.1,Jordbruk - husdyr og husdyrgjødsel,3040,,2694,346
2012,7.2,Jordbruk - kunstgjødsel og annet,1395,65,3,1327
2013,0,Alle kilder,53334,44513,5377,2316
2013,2,Industri og bergverk,11777,11075,169,371
2013,6,"Luftfart, sjøfart, fiske, motorredskaper m.m.",7606,7410,136,59
2013,7,Jordbruk,4478,68,2722,1688
2013,7.1,Jordbruk - husdyr og husdyrgjødsel,3071,,2719,352
2013,7.2,Jordbruk - kunstgjødsel og annet,1407,68,2,1336
2014,0,Alle kilder,53740,44959,5325,2345
2014,2,Industri og bergverk,11431,10757,165,349
2014,6,"Luftfart, sjøfart, fiske, motorredskaper m.m.",7658,7451,149,58
2014,7,Jordbruk,4574,72,2760,1742
2014,7.1,Jordbruk - husdyr og husdyrgjødsel,3111,,2756,354
2014,7.2,Jordbruk - kunstgjødsel og annet,1463,72,3,1388
2015,0,Alle kilder,54282,45518,5310,2382
2015,2,Industri og bergverk,11721,11080,151,358
2015,6,"Luftfart, sjøfart, fiske, motorredskaper m.m.",7474,7265,151,58
2015,7,Jordbruk,4629,75,2790,1764
2015,7.1,Jordbruk - husdyr og husdyrgjødsel,3143,,2787,356
2015,7.2,Jordbruk - kunstgjødsel og annet,1486,75,4,1408
2016,0,Alle kilder,53412,44703,5273,2317
2016,2,Industri og bergverk,11408,10806,139,296
2016,6,"Luftfart, sjøfart, fiske, motorredskaper m.m.",7402,7205,138,59
2016,7,Jordbruk,4677,78,2842,1757
2016,7.1,Jordbruk - husdyr og husdyrgjødsel,3199,,2838,361
2016,7.2,Jordbruk - kunstgjødsel og annet,1478,78,3,1396
2017,0,Alle kilder,52676,44165,5191,2267
2017,2,Industri og bergverk,11795,11278,130,270
2017,6,"Luftfart, sjøfart, fiske, motorredskaper m.m.",7510,7308,143,59
2017,7,Jordbruk,4649,81,2839,1728
2017,7.1,Jordbruk - husdyr og husdyrgjødsel,3193,,2836,357
2017,7.2,Jordbruk - kunstgjødsel og annet,1456,81,3,1371
2018,0,Alle kilder,52839,44441,5105,2255
2018,2,Industri og bergverk,11826,11305,132,257
2018,6,"Luftfart, sjøfart, fiske, motorredskaper m.m.",7750,7571,116,63
2018,7,Jordbruk,4665,91,2846,1728
2018,7.1,Jordbruk - husdyr og husdyrgjødsel,3201,,2844,357
2018,7.2,Jordbruk - kunstgjødsel og annet,1464,91,2,1371
2019,0,Alle kilder,51086,42845,4890,2291
2019,2,Industri og bergverk,11386,10846,129,253
2019,6,"Luftfart, sjøfart, fiske, motorredskaper m.m.",7691,7516,114,61
2019,7,Jordbruk,4619,101,2747,1771
2019,7.1,Jordbruk - husdyr og husdyrgjødsel,3094,,2743,350
2019,7.2,Jordbruk - kunstgjødsel og annet,1525,101,3,1420
2020,0,Alle kilder,49372,41224,4877,2239
2020,2,Industri og bergverk,11263,10778,126,210
2020,6,"Luftfart, sjøfart, fiske, motorredskaper m.m.",7379,7208,113,58
2020,7,Jordbruk,4628,111,2750,1766
2020,7.1,Jordbruk - husdyr og husdyrgjødsel,3101,,2746,354
2020,7.2,Jordbruk - kunstgjødsel og annet,1527,111,3,1412
2021,0,Alle kilder,49177,40970,4875,2248
2021,2,Industri og bergverk,11643,11097,125,197
2021,6,"Luftfart, sjøfart, fiske, motorredskaper m.m.",7447,7278,109,60
2021,7,Jordbruk,4689,115,2793,1782
2021,7.1,Jordbruk - husdyr og husdyrgjødsel,3148,,2790,359
2021,7.2,Jordbruk - kunstgjødsel og annet,1541,115,3,1423
2022,0,Alle kilder,48825,40796,4837,2257
2022,2,Industri og bergverk,11444,10953,118,250
2022,6,"Luftfart, sjøfart, fiske, motorredskaper m.m.",7756,7540,153,63
2022,7,Jordbruk,4574,119,2741,1713
2022,7.1,Jordbruk - husdyr og husdyrgjødsel,3091,,2738,353
2022,7.2,Jordbruk - kunstgjødsel og annet,1483,119,3,1360
2023,0,Alle kilder,46552,38876,4668,2094
2023,2,Industri og bergverk,10838,10421,112,211
2023,6,"Luftfart, sjøfart, fiske, motorredskaper m.m.",7650,7459,124,66
2023,7,Jordbruk,4395,123,2684,1588
2023,7.1,Jordbruk - husdyr og husdyrgjødsel,3030,,2682,348
2023,7.2,Jordbruk - kunstgjødsel og annet,1365,123,2,1240
2024,0,Alle kilder,44622,36966,4570,2222
2024,2,Industri og bergverk,10555,10063,105,306
2024,6,"Luftfart, sjøfart, fiske, motorredskaper m.m.",7315,7113,138,64
2024,7,Jordbruk,4409,123,2659,1628
2024,7.1,Jordbruk - husdyr og husdyrgjødsel,3000,,2656,345
2024,7.2,Jordbruk - kunstgjødsel og annet,1409,123,3,1283
