Year,NACECode,Industry,Employed1000
2022,64-66,Finansiering og forsikring,60
2022,68-75,"Teknisk tjenesteyting, eiendomsdrift",206
2022,77-82,Forretningsmessig tjenesteyting,130
2022,84,"Off.adm., forsvar, sosialforsikring",177
2022,85,Undervisning,235
2022,86-88,Helse- og sosialtjenester,575
2022,90-99,Personlig tjenesteyting,128
2023,00,Uoppgitt,0
2023,00-99,Alle næringer,2876
2023,01-03,"Jordbruk, skogbruk og fiske",72
2023,05-09,Bergverksdrift og utvinning,66
2023,10-33,Industri,202
2023,35-39,"Elektrisitet, vann og renovasjon",35
2023,41-43,Bygge- og anleggsvirksomhet,239
2023,45-47,"Varehandel, reparasjon av motorvogner",344
2023,49-53,Transport og lagring,137
2023,55-56,Overnattings- og serveringsvirksomhet,105
2023,58-63,Informasjon og kommunikasjon,132
2023,64-66,Finansiering og forsikring,56
2023,68-75,"Teknisk tjenesteyting, eiendomsdrift",207
2023,77-82,Forretningsmessig tjenesteyting,134
2023,84,"Off.adm., forsvar, sosialforsikring",177
2023,85,Undervisning,241
2023,86-88,Helse- og sosialtjenester,582
2023,90-99,Personlig tjenesteyting,131
2024,00,Uoppgitt,0
2024,00-99,Alle næringer,2889
2024,01-03,"Jordbruk, skogbruk og fiske",71
2024,05-09,Bergverksdrift og utvinning,58
2024,10-33,Industri,190
2024,35-39,"Elektrisitet, vann og renovasjon",37
2024,41-43,Bygge- og anleggsvirksomhet,233
2024,45-47,"Varehandel, reparasjon av motorvogner",352
2024,49-53,Transport og lagring,147
2024,55-56,Overnattings- og serveringsvirksomhet,101
2024,58-63,Informasjon og kommunikasjon,128
2024,64-66,Finansiering og forsikring,47
2024,68-75,"Teknisk tjenesteyting, eiendomsdrift",215
2024,77-82,Forretningsmessig tjenesteyting,137
2024,84,"Off.adm., forsvar, sosialforsikring",177
2024,85,Undervisning,244
2024,86-88,Helse- og sosialtjenester,590
2024,90-99,Personlig tjenesteyting,137
2025,00-99,Alle næringer,2903
2025,01-03,"Jordbruk, skogbruk og fiske",68
2025,05-09,Bergverksdrift og utvinning,61
2025,10-33,Industri,192
2025,35-39,"Elektrisitet, vann og renovasjon",38
2025,41-43,Bygge- og anleggsvirksomhet,226
2025,45-47,"Varehandel, reparasjon av motorvogner",346
2025,49-53,Transport og lagring,154
2025,55-56,Overnattings- og serveringsvirksomhet,110
2025,58-63,Informasjon og kommunikasjon,135
2025,64-66,Finansiering og forsikring,53
2025,68-75,"Teknisk tjenesteyting, eiendomsdrift",214
2025,77-82,Forretningsmessig tjenesteyting,128
2025,84,"Off.adm., forsvar, sosialforsikring",188
2025,85,Undervisning,230
2025,86-88,Helse- og sosialtjenester,585
2025,90-99,Personlig tjenesteyting,145
