"kilde","materialtype","år","statistikkvariabel","10514: Avfallsregnskap for Norge (1 000 tonn),"
"Jord-, skogbruk og fiske","Slam","2019","Avfallsmengde",0
"Jord-, skogbruk og fiske","Slam","2020","Avfallsmengde",0
"Jord-, skogbruk og fiske","Slam","2021","Avfallsmengde",0
"Jord-, skogbruk og fiske","Slam","2022","Avfallsmengde",0
"Jord-, skogbruk og fiske","Slam","2023","Avfallsmengde",0
"Jord-, skogbruk og fiske","Slam","2024","Avfallsmengde",1
"Jord-, skogbruk og fiske","Papir, papp og kartong","2012","Avfallsmengde",5
"Jord-, skogbruk og fiske","Papir, papp og kartong","2013","Avfallsmengde",5
"Jord-, skogbruk og fiske","Papir, papp og kartong","2014","Avfallsmengde",5
"Jord-, skogbruk og fiske","Papir, papp og kartong","2015","Avfallsmengde",5
"Jord-, skogbruk og fiske","Papir, papp og kartong","2016","Avfallsmengde",5
"Jord-, skogbruk og fiske","Papir, papp og kartong","2017","Avfallsmengde",5
"Jord-, skogbruk og fiske","Papir, papp og kartong","2018","Avfallsmengde",5
"Jord-, skogbruk og fiske","Papir, papp og kartong","2019","Avfallsmengde",5
"Jord-, skogbruk og fiske","Papir, papp og kartong","2020","Avfallsmengde",5
"Jord-, skogbruk og fiske","Papir, papp og kartong","2021","Avfallsmengde",5
"Jord-, skogbruk og fiske","Papir, papp og kartong","2022","Avfallsmengde",5
"Jord-, skogbruk og fiske","Papir, papp og kartong","2023","Avfallsmengde",5
"Jord-, skogbruk og fiske","Papir, papp og kartong","2024","Avfallsmengde",5
"Jord-, skogbruk og fiske","Glass","2012","Avfallsmengde",0
"Jord-, skogbruk og fiske","Glass","2013","Avfallsmengde",0
"Jord-, skogbruk og fiske","Glass","2014","Avfallsmengde",0
"Jord-, skogbruk og fiske","Glass","2015","Avfallsmengde",0
"Jord-, skogbruk og fiske","Glass","2016","Avfallsmengde",0
"Jord-, skogbruk og fiske","Glass","2017","Avfallsmengde",0
"Jord-, skogbruk og fiske","Glass","2018","Avfallsmengde",0
"Jord-, skogbruk og fiske","Glass","2019","Avfallsmengde",0
"Jord-, skogbruk og fiske","Glass","2020","Avfallsmengde",0
"Jord-, skogbruk og fiske","Glass","2021","Avfallsmengde",0
"Jord-, skogbruk og fiske","Glass","2022","Avfallsmengde",0
"Jord-, skogbruk og fiske","Glass","2023","Avfallsmengde",0
"Jord-, skogbruk og fiske","Glass","2024","Avfallsmengde",0
"Jord-, skogbruk og fiske","Metall","2012","Avfallsmengde",2
"Jord-, skogbruk og fiske","Metall","2013","Avfallsmengde",2
"Jord-, skogbruk og fiske","Metall","2014","Avfallsmengde",2
"Jord-, skogbruk og fiske","Metall","2015","Avfallsmengde",2
"Jord-, skogbruk og fiske","Metall","2016","Avfallsmengde",2
"Jord-, skogbruk og fiske","Metall","2017","Avfallsmengde",2
"Jord-, skogbruk og fiske","Metall","2018","Avfallsmengde",2
"Jord-, skogbruk og fiske","Metall","2019","Avfallsmengde",2
"Jord-, skogbruk og fiske","Metall","2020","Avfallsmengde",2
"Jord-, skogbruk og fiske","Metall","2021","Avfallsmengde",2
"Jord-, skogbruk og fiske","Metall","2022","Avfallsmengde",2
"Jord-, skogbruk og fiske","Metall","2023","Avfallsmengde",2
"Jord-, skogbruk og fiske","Metall","2024","Avfallsmengde",2
"Jord-, skogbruk og fiske","EE-avfall","2012","Avfallsmengde",3
"Jord-, skogbruk og fiske","EE-avfall","2013","Avfallsmengde",3
"Jord-, skogbruk og fiske","EE-avfall","2014","Avfallsmengde",3
"Jord-, skogbruk og fiske","EE-avfall","2015","Avfallsmengde",3
"Jord-, skogbruk og fiske","EE-avfall","2016","Avfallsmengde",3
"Jord-, skogbruk og fiske","EE-avfall","2017","Avfallsmengde",3
"Jord-, skogbruk og fiske","EE-avfall","2018","Avfallsmengde",3
"Jord-, skogbruk og fiske","EE-avfall","2019","Avfallsmengde",3
"Jord-, skogbruk og fiske","EE-avfall","2020","Avfallsmengde",3
"Jord-, skogbruk og fiske","EE-avfall","2021","Avfallsmengde",3
"Jord-, skogbruk og fiske","EE-avfall","2022","Avfallsmengde",3
"Jord-, skogbruk og fiske","EE-avfall","2023","Avfallsmengde",3
"Jord-, skogbruk og fiske","EE-avfall","2024","Avfallsmengde",3
"Jord-, skogbruk og fiske","Betong og tegl","2012","Avfallsmengde",0
"Jord-, skogbruk og fiske","Betong og tegl","2013","Avfallsmengde",0
"Jord-, skogbruk og fiske","Betong og tegl","2014","Avfallsmengde",0
"Jord-, skogbruk og fiske","Betong og tegl","2015","Avfallsmengde",0
"Jord-, skogbruk og fiske","Betong og tegl","2016","Avfallsmengde",0
"Jord-, skogbruk og fiske","Betong og tegl","2017","Avfallsmengde",0
"Jord-, skogbruk og fiske","Betong og tegl","2018","Avfallsmengde",0
"Jord-, skogbruk og fiske","Betong og tegl","2019","Avfallsmengde",0
