"behandlingsmåte","materialtype","år","statistikkvariabel","10513: Avfallsregnskap for Norge (1 000 tonn),"
"Avfallsbehandling i alt","Slagg, støv, bunnaske, flygeaske","2019","Avfallsmengde",742
"Avfallsbehandling i alt","Slagg, støv, bunnaske, flygeaske","2020","Avfallsmengde",639
"Avfallsbehandling i alt","Slagg, støv, bunnaske, flygeaske","2021","Avfallsmengde",648
"Avfallsbehandling i alt","Slagg, støv, bunnaske, flygeaske","2022","Avfallsmengde",582
"Avfallsbehandling i alt","Slagg, støv, bunnaske, flygeaske","2023","Avfallsmengde",510
"Avfallsbehandling i alt","Slagg, støv, bunnaske, flygeaske","2024","Avfallsmengde",430
"Avfallsbehandling i alt","Plast","2012","Avfallsmengde",251
"Avfallsbehandling i alt","Plast","2013","Avfallsmengde",235
"Avfallsbehandling i alt","Plast","2014","Avfallsmengde",240
"Avfallsbehandling i alt","Plast","2015","Avfallsmengde",263
"Avfallsbehandling i alt","Plast","2016","Avfallsmengde",244
"Avfallsbehandling i alt","Plast","2017","Avfallsmengde",239
"Avfallsbehandling i alt","Plast","2018","Avfallsmengde",276
"Avfallsbehandling i alt","Plast","2019","Avfallsmengde",290
"Avfallsbehandling i alt","Plast","2020","Avfallsmengde",255
"Avfallsbehandling i alt","Plast","2021","Avfallsmengde",248
"Avfallsbehandling i alt","Plast","2022","Avfallsmengde",157
"Avfallsbehandling i alt","Plast","2023","Avfallsmengde",160
"Avfallsbehandling i alt","Plast","2024","Avfallsmengde",168
"Avfallsbehandling i alt","Gummi","2012","Avfallsmengde",61
"Avfallsbehandling i alt","Gummi","2013","Avfallsmengde",56
"Avfallsbehandling i alt","Gummi","2014","Avfallsmengde",53
"Avfallsbehandling i alt","Gummi","2015","Avfallsmengde",57
"Avfallsbehandling i alt","Gummi","2016","Avfallsmengde",58
"Avfallsbehandling i alt","Gummi","2017","Avfallsmengde",59
"Avfallsbehandling i alt","Gummi","2018","Avfallsmengde",62
"Avfallsbehandling i alt","Gummi","2019","Avfallsmengde",67
"Avfallsbehandling i alt","Gummi","2020","Avfallsmengde",43
"Avfallsbehandling i alt","Gummi","2021","Avfallsmengde",50
"Avfallsbehandling i alt","Gummi","2022","Avfallsmengde",23
"Avfallsbehandling i alt","Gummi","2023","Avfallsmengde",22
"Avfallsbehandling i alt","Gummi","2024","Avfallsmengde",19
"Avfallsbehandling i alt","Tekstiler","2012","Avfallsmengde",4
"Avfallsbehandling i alt","Tekstiler","2013","Avfallsmengde",3
"Avfallsbehandling i alt","Tekstiler","2014","Avfallsmengde",3
"Avfallsbehandling i alt","Tekstiler","2015","Avfallsmengde",3
"Avfallsbehandling i alt","Tekstiler","2016","Avfallsmengde",3
"Avfallsbehandling i alt","Tekstiler","2017","Avfallsmengde",4
"Avfallsbehandling i alt","Tekstiler","2018","Avfallsmengde",6
"Avfallsbehandling i alt","Tekstiler","2019","Avfallsmengde",3
"Avfallsbehandling i alt","Tekstiler","2020","Avfallsmengde",3
"Avfallsbehandling i alt","Tekstiler","2021","Avfallsmengde",4
