Year,CropCode,CropType,AreaDekar
2007,04a,Korn og oljevekstar til mogning,3181056
2007,05,Kveite,912150
2007,06a,Rugkveite,76302
2007,07,Bygg,1406749
2007,08,Havre,723853
2007,09a,Oljevekstar til mogning,62002
2007,10,Potet,144658
2007,11a,Grønfôr- og silovekstar,137325
2007,12,Grønsaker på friland,76839
2007,12a,Jordbær,16904
2007,13a,Andre vekstar på åker og i hage,103470
2007,13b,Brakk,8585
2007,14,Eng til slått og beite,6651361
2007,15,Fulldyrka eng,4905540
2007,16,Anna eng og beite,1745821
2007,17,Overflatedyrka eng,253754
2007,18,Innmarksbeite,1492067
2008,01,Jordbruksareal i drift,10244883
2008,02,Fulldyrka jord,8493510
2008,03,Åker og hage,3609245
2008,04a,Korn og oljevekstar til mogning,3138319
2008,05,Kveite,931697
2008,06a,Rugkveite,81694
2008,07,Bygg,1299067
2008,08,Havre,777747
2008,09a,Oljevekstar til mogning,48114
2008,10,Potet,143212
2008,11a,Grønfôr- og silovekstar,130566
2008,12,Grønsaker på friland,76288
2008,12a,Jordbær,15233
2008,13a,Andre vekstar på åker og i hage,96247
2008,13b,Brakk,9380
2008,14,Eng til slått og beite,6635638
2008,15,Fulldyrka eng,4884265
2008,16,Anna eng og beite,1751373
2008,17,Overflatedyrka eng,243272
2008,18,Innmarksbeite,1508101
2009,01,Jordbruksareal i drift,10142874
2009,02,Fulldyrka jord,8394810
2009,03,Åker og hage,3566359
2009,04a,Korn og oljevekstar til mogning,3104119
2009,05,Kveite,815997
2009,06,Rug,0
2009,06a,Rugkveite,71221
2009,07,Bygg,1363385
2009,08,Havre,810310
2009,08a,Blandkorn og erter til mogning,0
2009,09a,Oljevekstar til mogning,43206
2009,10,Potet,137485
2009,11,"Rotvekster til fôr, grønfôr og silovekstar",0
2009,11a,Grønfôr- og silovekstar,119761
2009,12,Grønsaker på friland,72271
2009,12a,Jordbær,14660
2009,13a,Andre vekstar på åker og i hage,108283
2009,13b,Brakk,9780
2009,14,Eng til slått og beite,6576515
2009,15,Fulldyrka eng,4828451
2009,16,Anna eng og beite,1748064
2009,17,Overflatedyrka eng,224545
2009,18,Innmarksbeite,1523519
2010,01,Jordbruksareal i drift,10059857
2010,02,Fulldyrka jord,8301464
2010,03,Åker og hage,3535985
2010,04a,Korn og oljevekstar til mogning,3070702
2010,05,Kveite,720820
2010,06,Rug,0
2010,06a,Rugkveite,67595
2010,07,Bygg,1461800
2010,08,Havre,761143
2010,08a,Blandkorn og erter til mogning,0
2010,09a,Oljevekstar til mogning,59344
2010,10,Potet,132399
2010,11,"Rotvekster til fôr, grønfôr og silovekstar",0
2010,11a,Grønfôr- og silovekstar,119319
2010,12,Grønsaker på friland,71220
2010,12a,Jordbær,13907
2010,13a,Andre vekstar på åker og i hage,117660
2010,13b,Brakk,10778
2010,14,Eng til slått og beite,6523872
2010,15,Fulldyrka eng,4765479
2010,16,Anna eng og beite,1758393
2010,17,Overflatedyrka eng,207036
2010,18,Innmarksbeite,1551357
2011,01,Jordbruksareal i drift,9989187
2011,02,Fulldyrka jord,8223637
2011,03,Åker og hage,3476160
2011,04a,Korn og oljevekstar til mogning,3039526
2011,05,Kveite,738901
2011,06,Rug,0
2011,06a,Rugkveite,52805
2011,07,Bygg,1479746
2011,08,Havre,716049
2011,08a,Blandkorn og erter til mogning,0
2011,09a,Oljevekstar til mogning,52025
2011,10,Potet,128963
2011,11,"Rotvekster til fôr, grønfôr og silovekstar",0
2011,11a,Grønfôr- og silovekstar,102117
2011,12,Grønsaker på friland,68683
2011,12a,Jordbær,14385
2011,13a,Andre vekstar på åker og i hage,112178
2011,13b,Brakk,10196
2011,14,Eng til slått og beite,6513139
2011,15,Fulldyrka eng,4747589
2011,16,Anna eng og beite,1765550
2011,17,Overflatedyrka eng,200655
2011,18,Innmarksbeite,1564895
2012,01,Jordbruksareal i drift,9928634
2012,02,Fulldyrka jord,8163288
2012,03,Åker og hage,3434259
2012,04a,Korn og oljevekstar til mogning,2996994
2012,05,Kveite,669825
2012,06,Rug,0
2012,06a,Rugkveite,14761
2012,07,Bygg,1565346
2012,08,Havre,692189
2012,08a,Blandkorn og erter til mogning,0
2012,09a,Oljevekstar til mogning,54873
2012,10,Potet,126681
2012,11,"Rotvekster til fôr, grønfôr og silovekstar",0
2012,11a,Grønfôr- og silovekstar,105190
2012,12,Grønsaker på friland,71248
2012,12a,Jordbær,15127
2012,13a,Andre vekstar på åker og i hage,107160
2012,13b,Brakk,11859
2012,14,Eng til slått og beite,6494375
2012,15,Fulldyrka eng,4729029
2012,16,Anna eng og beite,1765346
2012,17,Overflatedyrka eng,201281
2012,18,Innmarksbeite,1564065
2013,01,Jordbruksareal i drift,9871428
2013,02,Fulldyrka jord,8107515
2013,03,Åker og hage,3350490
2013,04a,Korn og oljevekstar til mogning,2895196
2013,05,Kveite,548392
2013,06,Rug,0
2013,06a,Rugkveite,30144
2013,07,Bygg,1593871
2013,08,Havre,688166
2013,08a,Blandkorn og erter til mogning,0
2013,09a,Oljevekstar til mogning,34623
2013,10,Potet,126340
2013,11,"Rotvekster til fôr, grønfôr og silovekstar",0
2013,11a,Grønfôr- og silovekstar,122053
2013,12,Grønsaker på friland,70782
2013,12a,Jordbær,15654
2013,13a,Andre vekstar på åker og i hage,101499
2013,13b,Brakk,18966
2013,14,Eng til slått og beite,6520938
2013,15,Fulldyrka eng,4757049
2013,16,Anna eng og beite,1763889
2013,17,Overflatedyrka eng,199525
2013,18,Innmarksbeite,1564364
2014,01,Jordbruksareal i drift,9867679
2014,02,Fulldyrka jord,8111345
2014,03,Åker og hage,3325975
2014,04a,Korn og oljevekstar til mogning,2878465
2014,05,Kveite,791699
2014,06a,Rugkveite,60947
2014,07,Bygg,1265055
2014,08,Havre,719765
2014,09a,Oljevekstar til mogning,40999
2014,10,Potet,123452
2014,11a,Grønfôr- og silovekstar,112783
2014,12,Grønsaker på friland,75645
2014,12a,Jordbær,16785
2014,13a,Andre vekstar på åker og i hage,109765
2014,13b,Brakk,9080
2014,14,Eng til slått og beite,6541704
2014,15,Fulldyrka eng,4785370
2014,16,Anna eng og beite,1756334
2014,17,Overflatedyrka eng,198514
2014,18,Innmarksbeite,1557820
2015,01,Jordbruksareal i drift,9860355
2015,02,Fulldyrka jord,8101627
2015,03,Åker og hage,3302451
2015,04a,Korn og oljevekstar til mogning,2861953
2015,05,Kveite,857572
2015,06,Rug,0
2015,06a,Rugkveite,104130
2015,07,Bygg,1232916
2015,08,Havre,632550
2015,08a,Blandkorn og erter til mogning,0
2015,09a,Oljevekstar til mogning,34785
2015,10,Potet,118355
2015,11,"Rotvekster til fôr, grønfôr og silovekstar",0
2015,11a,Grønfôr- og silovekstar,99648
2015,12,Grønsaker på friland,76768
2015,12a,Jordbær,16352
2015,13a,Andre vekstar på åker og i hage,117971
2015,13b,Brakk,11404
2015,14,Eng til slått og beite,6557904
2015,15,Fulldyrka eng,4799176
2015,16,Anna eng og beite,1758728
2015,17,Overflatedyrka eng,197670
2015,18,Innmarksbeite,1561058
2016,01,Jordbruksareal i drift,9836608
2016,02,Fulldyrka jord,8081580
2016,03,Åker og hage,3331652
2016,04a,Korn og oljevekstar til mogning,2891982
2016,05,Kveite,667687
2016,06a,Rugkveite,45587
2016,07,Bygg,1375559
2016,08,Havre,761692
2016,09a,Oljevekstar til mogning,41457
2016,10,Potet,119839
2016,11a,Grønfôr- og silovekstar,90729
2016,12,Grønsaker på friland,82907
2016,12a,Jordbær,15456
2016,13a,Andre vekstar på åker og i hage,121464
2016,13b,Brakk,9275
2016,14,Eng til slått og beite,6504956
2016,15,Fulldyrka eng,4749928
2016,16,Anna eng og beite,1755028
2016,17,Overflatedyrka eng,195171
2016,18,Innmarksbeite,1559857
2017,01,Jordbruksareal i drift,9851116
2017,02,Fulldyrka jord,8045062
2017,03,Åker og hage,3318295
2017,04a,Korn og oljevekstar til mogning,2891061
2017,05,Kveite,757546
2017,06a,Rugkveite,83691
2017,07,Bygg,1348568
2017,08,Havre,676211
2017,09a,Oljevekstar til mogning,23119
2017,10,Potet,117282
2017,11a,Grønfôr- og silovekstar,95820
2017,12,Grønsaker på friland,80926
2017,12a,Jordbær,14657
2017,13a,Andre vekstar på åker og i hage,113230
2017,13b,Brakk,5319
2017,14,Eng til slått og beite,6532821
2017,15,Fulldyrka eng,4726767
2017,16,Anna eng og beite,1806054
2017,17,Overflatedyrka eng,195037
2017,18,Innmarksbeite,1611017
2018,01,Jordbruksareal i drift,9862802
2018,02,Fulldyrka jord,8062827
2018,03,Åker og hage,3275691
2018,04a,Korn og oljevekstar til mogning,2832591
2018,05,Kveite,586531
2018,06a,Rugkveite,33292
2018,07,Bygg,1479510
2018,08,Havre,698302
