country,year,commodity_group,commodity_group_label,flow,metric,unit,total_import_value,nordic_core_import_value,nordic_core_share,nordic_extended_import_value,nordic_extended_share,nordic_core_partner_codes,nordic_extended_partner_codes,source_name,dataset_or_table_id,source_raw_file,status,notes
IS,2019,fish_seafood,Fish and seafood,imports,Import cif value,Statistics Iceland source units,13016.5,3135.1,0.240856,4682.5,0.359736,DK;FI;NO;SE,AX;DK;FI;FO;GL;NO;SE,Statistics Iceland imports by SITC and countries,UTA06201.px,research/data/nordic/trade-groups/raw-json/is-food-group-imports-monthly.json,partial_is_only_from_existing_raw,Derived from existing Iceland raw JSON-stat response with partner-country dimension; use as partial evidence until all-country partner pulls are built.
IS,2019,fruit_veg,Fruit and vegetables,imports,Import cif value,Statistics Iceland source units,17313.3,1009.8,0.058325,1009.8,0.058325,DK;FI;NO;SE,AX;DK;FI;FO;GL;NO;SE,Statistics Iceland imports by SITC and countries,UTA06201.px,research/data/nordic/trade-groups/raw-json/is-food-group-imports-monthly.json,partial_is_only_from_existing_raw,Derived from existing Iceland raw JSON-stat response with partner-country dimension; use as partial evidence until all-country partner pulls are built.
IS,2019,meat,Meat and meat preparations,imports,Import cif value,Statistics Iceland source units,3778.8,1282,0.339261,1282,0.339261,DK;FI;NO;SE,AX;DK;FI;FO;GL;NO;SE,Statistics Iceland imports by SITC and countries,UTA06201.px,research/data/nordic/trade-groups/raw-json/is-food-group-imports-monthly.json,partial_is_only_from_existing_raw,Derived from existing Iceland raw JSON-stat response with partner-country dimension; use as partial evidence until all-country partner pulls are built.
IS,2019,selected_food_basket,Selected food basket,imports,Import cif value,Statistics Iceland source units,52195.9,8987.4,0.172186,10534.8,0.201832,DK;FI;NO;SE,AX;DK;FI;FO;GL;NO;SE,Statistics Iceland imports by SITC and countries,UTA06201.px,research/data/nordic/trade-groups/raw-json/is-food-group-imports-monthly.json,partial_is_only_from_existing_raw,Derived from existing Iceland raw JSON-stat response with partner-country dimension; use as partial evidence until all-country partner pulls are built.
IS,2020,cereals,Cereals and cereal preparations,imports,Import cif value,Statistics Iceland source units,12309.1,3276.3,0.266169,3276.3,0.266169,DK;FI;NO;SE,AX;DK;FI;FO;GL;NO;SE,Statistics Iceland imports by SITC and countries,UTA06201.px,research/data/nordic/trade-groups/raw-json/is-food-group-imports-monthly.json,partial_is_only_from_existing_raw,Derived from existing Iceland raw JSON-stat response with partner-country dimension; use as partial evidence until all-country partner pulls are built.
IS,2020,dairy_eggs,Dairy products and eggs,imports,Import cif value,Statistics Iceland source units,1568.3,323.3,0.206147,323.3,0.206147,DK;FI;NO;SE,AX;DK;FI;FO;GL;NO;SE,Statistics Iceland imports by SITC and countries,UTA06201.px,research/data/nordic/trade-groups/raw-json/is-food-group-imports-monthly.json,partial_is_only_from_existing_raw,Derived from existing Iceland raw JSON-stat response with partner-country dimension; use as partial evidence until all-country partner pulls are built.
IS,2020,fats_oils,Fats and oils,imports,Import cif value,Statistics Iceland source units,6020.4,589.6,0.097934,594.2,0.098698,DK;FI;NO;SE,AX;DK;FI;FO;GL;NO;SE,Statistics Iceland imports by SITC and countries,UTA06201.px,research/data/nordic/trade-groups/raw-json/is-food-group-imports-monthly.json,partial_is_only_from_existing_raw,Derived from existing Iceland raw JSON-stat response with partner-country dimension; use as partial evidence until all-country partner pulls are built.
IS,2020,fish_seafood,Fish and seafood,imports,Import cif value,Statistics Iceland source units,9404.5,944.9,0.100473,2208.7,0.234856,DK;FI;NO;SE,AX;DK;FI;FO;GL;NO;SE,Statistics Iceland imports by SITC and countries,UTA06201.px,research/data/nordic/trade-groups/raw-json/is-food-group-imports-monthly.json,partial_is_only_from_existing_raw,Derived from existing Iceland raw JSON-stat response with partner-country dimension; use as partial evidence until all-country partner pulls are built.
IS,2020,fruit_veg,Fruit and vegetables,imports,Import cif value,Statistics Iceland source units,18319.8,1039.3,0.056731,1039.5,0.056742,DK;FI;NO;SE,AX;DK;FI;FO;GL;NO;SE,Statistics Iceland imports by SITC and countries,UTA06201.px,research/data/nordic/trade-groups/raw-json/is-food-group-imports-monthly.json,partial_is_only_from_existing_raw,Derived from existing Iceland raw JSON-stat response with partner-country dimension; use as partial evidence until all-country partner pulls are built.
IS,2020,meat,Meat and meat preparations,imports,Import cif value,Statistics Iceland source units,3620.6,1156.6,0.31945,1156.6,0.31945,DK;FI;NO;SE,AX;DK;FI;FO;GL;NO;SE,Statistics Iceland imports by SITC and countries,UTA06201.px,research/data/nordic/trade-groups/raw-json/is-food-group-imports-monthly.json,partial_is_only_from_existing_raw,Derived from existing Iceland raw JSON-stat response with partner-country dimension; use as partial evidence until all-country partner pulls are built.
IS,2020,selected_food_basket,Selected food basket,imports,Import cif value,Statistics Iceland source units,51242.7,7330,0.143045,8598.6,0.167801,DK;FI;NO;SE,AX;DK;FI;FO;GL;NO;SE,Statistics Iceland imports by SITC and countries,UTA06201.px,research/data/nordic/trade-groups/raw-json/is-food-group-imports-monthly.json,partial_is_only_from_existing_raw,Derived from existing Iceland raw JSON-stat response with partner-country dimension; use as partial evidence until all-country partner pulls are built.
IS,2021,cereals,Cereals and cereal preparations,imports,Import cif value,Statistics Iceland source units,13455.2,3779.9,0.280925,3779.9,0.280925,DK;FI;NO;SE,AX;DK;FI;FO;GL;NO;SE,Statistics Iceland imports by SITC and countries,UTA06201.px,research/data/nordic/trade-groups/raw-json/is-food-group-imports-monthly.json,partial_is_only_from_existing_raw,Derived from existing Iceland raw JSON-stat response with partner-country dimension; use as partial evidence until all-country partner pulls are built.
IS,2021,dairy_eggs,Dairy products and eggs,imports,Import cif value,Statistics Iceland source units,1834.1,418.4,0.228123,418.4,0.228123,DK;FI;NO;SE,AX;DK;FI;FO;GL;NO;SE,Statistics Iceland imports by SITC and countries,UTA06201.px,research/data/nordic/trade-groups/raw-json/is-food-group-imports-monthly.json,partial_is_only_from_existing_raw,Derived from existing Iceland raw JSON-stat response with partner-country dimension; use as partial evidence until all-country partner pulls are built.
IS,2021,fats_oils,Fats and oils,imports,Import cif value,Statistics Iceland source units,6377,784.7,0.123052,829.1,0.130014,DK;FI;NO;SE,AX;DK;FI;FO;GL;NO;SE,Statistics Iceland imports by SITC and countries,UTA06201.px,research/data/nordic/trade-groups/raw-json/is-food-group-imports-monthly.json,partial_is_only_from_existing_raw,Derived from existing Iceland raw JSON-stat response with partner-country dimension; use as partial evidence until all-country partner pulls are built.
IS,2021,fish_seafood,Fish and seafood,imports,Import cif value,Statistics Iceland source units,11741.8,4369.3,0.372115,4964.4,0.422797,DK;FI;NO;SE,AX;DK;FI;FO;GL;NO;SE,Statistics Iceland imports by SITC and countries,UTA06201.px,research/data/nordic/trade-groups/raw-json/is-food-group-imports-monthly.json,partial_is_only_from_existing_raw,Derived from existing Iceland raw JSON-stat response with partner-country dimension; use as partial evidence until all-country partner pulls are built.
IS,2021,fruit_veg,Fruit and vegetables,imports,Import cif value,Statistics Iceland source units,18720,960.7,0.051319,960.7,0.051319,DK;FI;NO;SE,AX;DK;FI;FO;GL;NO;SE,Statistics Iceland imports by SITC and countries,UTA06201.px,research/data/nordic/trade-groups/raw-json/is-food-group-imports-monthly.json,partial_is_only_from_existing_raw,Derived from existing Iceland raw JSON-stat response with partner-country dimension; use as partial evidence until all-country partner pulls are built.
IS,2021,meat,Meat and meat preparations,imports,Import cif value,Statistics Iceland source units,4136.6,1207,0.291786,1207,0.291786,DK;FI;NO;SE,AX;DK;FI;FO;GL;NO;SE,Statistics Iceland imports by SITC and countries,UTA06201.px,research/data/nordic/trade-groups/raw-json/is-food-group-imports-monthly.json,partial_is_only_from_existing_raw,Derived from existing Iceland raw JSON-stat response with partner-country dimension; use as partial evidence until all-country partner pulls are built.
IS,2021,selected_food_basket,Selected food basket,imports,Import cif value,Statistics Iceland source units,56264.7,11520,0.204746,12159.5,0.216112,DK;FI;NO;SE,AX;DK;FI;FO;GL;NO;SE,Statistics Iceland imports by SITC and countries,UTA06201.px,research/data/nordic/trade-groups/raw-json/is-food-group-imports-monthly.json,partial_is_only_from_existing_raw,Derived from existing Iceland raw JSON-stat response with partner-country dimension; use as partial evidence until all-country partner pulls are built.
IS,2022,cereals,Cereals and cereal preparations,imports,Import cif value,Statistics Iceland source units,16405.3,3752.1,0.228713,3752.1,0.228713,DK;FI;NO;SE,AX;DK;FI;FO;GL;NO;SE,Statistics Iceland imports by SITC and countries,UTA06201.px,research/data/nordic/trade-groups/raw-json/is-food-group-imports-monthly.json,partial_is_only_from_existing_raw,Derived from existing Iceland raw JSON-stat response with partner-country dimension; use as partial evidence until all-country partner pulls are built.
