theme,series_family,series_id,country,source_name,dataset_or_table_id,period,frequency,flow,metric,unit,value,coverage,comparability,notes
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2018-11,monthly,imports,Trade value,source units,65026.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2018-12,monthly,imports,Trade value,source units,53317.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2019-01,monthly,imports,Trade value,source units,60622.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2019-02,monthly,imports,Trade value,source units,62024.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2019-03,monthly,imports,Trade value,source units,66835.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2019-04,monthly,imports,Trade value,source units,62391.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2019-05,monthly,imports,Trade value,source units,67147.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2019-06,monthly,imports,Trade value,source units,59996.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2019-07,monthly,imports,Trade value,source units,60087.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2019-08,monthly,imports,Trade value,source units,59910.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2019-09,monthly,imports,Trade value,source units,67440.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2019-10,monthly,imports,Trade value,source units,67051.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2019-11,monthly,imports,Trade value,source units,62982.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2019-12,monthly,imports,Trade value,source units,61383.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2020-01,monthly,imports,Trade value,source units,62512.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2020-02,monthly,imports,Trade value,source units,59753.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2020-03,monthly,imports,Trade value,source units,69071.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2020-04,monthly,imports,Trade value,source units,55394.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2020-05,monthly,imports,Trade value,source units,57729.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2020-06,monthly,imports,Trade value,source units,66323.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2020-07,monthly,imports,Trade value,source units,61675.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2020-08,monthly,imports,Trade value,source units,63570.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2020-09,monthly,imports,Trade value,source units,68859.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2020-10,monthly,imports,Trade value,source units,67952.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2020-11,monthly,imports,Trade value,source units,71351.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2020-12,monthly,imports,Trade value,source units,64666.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2021-01,monthly,imports,Trade value,source units,55607.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
