theme,series_family,series_id,country,source_name,dataset_or_table_id,period,frequency,flow,metric,unit,value,coverage,comparability,notes
prices,food_hicp_monthly,hicp_food_dk,DK,Eurostat HICP monthly,prc_hicp_midx,2017-09,monthly,,HICP food and non-alcoholic beverages,index (2015=100),103.900,food and non-alcoholic beverages,cross-country comparable panel,"Eurostat COICOP CP01, used as the first comparable Nordic food-price backbone."
prices,food_hicp_monthly,hicp_food_dk,DK,Eurostat HICP monthly,prc_hicp_midx,2017-10,monthly,,HICP food and non-alcoholic beverages,index (2015=100),103.700,food and non-alcoholic beverages,cross-country comparable panel,"Eurostat COICOP CP01, used as the first comparable Nordic food-price backbone."
prices,food_hicp_monthly,hicp_food_dk,DK,Eurostat HICP monthly,prc_hicp_midx,2017-11,monthly,,HICP food and non-alcoholic beverages,index (2015=100),104.000,food and non-alcoholic beverages,cross-country comparable panel,"Eurostat COICOP CP01, used as the first comparable Nordic food-price backbone."
prices,food_hicp_monthly,hicp_food_dk,DK,Eurostat HICP monthly,prc_hicp_midx,2017-12,monthly,,HICP food and non-alcoholic beverages,index (2015=100),102.900,food and non-alcoholic beverages,cross-country comparable panel,"Eurostat COICOP CP01, used as the first comparable Nordic food-price backbone."
prices,food_hicp_monthly,hicp_food_dk,DK,Eurostat HICP monthly,prc_hicp_midx,2018-01,monthly,,HICP food and non-alcoholic beverages,index (2015=100),103.000,food and non-alcoholic beverages,cross-country comparable panel,"Eurostat COICOP CP01, used as the first comparable Nordic food-price backbone."
prices,food_hicp_monthly,hicp_food_dk,DK,Eurostat HICP monthly,prc_hicp_midx,2018-02,monthly,,HICP food and non-alcoholic beverages,index (2015=100),103.400,food and non-alcoholic beverages,cross-country comparable panel,"Eurostat COICOP CP01, used as the first comparable Nordic food-price backbone."
prices,food_hicp_monthly,hicp_food_dk,DK,Eurostat HICP monthly,prc_hicp_midx,2018-03,monthly,,HICP food and non-alcoholic beverages,index (2015=100),102.400,food and non-alcoholic beverages,cross-country comparable panel,"Eurostat COICOP CP01, used as the first comparable Nordic food-price backbone."
prices,food_hicp_monthly,hicp_food_dk,DK,Eurostat HICP monthly,prc_hicp_midx,2018-04,monthly,,HICP food and non-alcoholic beverages,index (2015=100),102.900,food and non-alcoholic beverages,cross-country comparable panel,"Eurostat COICOP CP01, used as the first comparable Nordic food-price backbone."
prices,food_hicp_monthly,hicp_food_dk,DK,Eurostat HICP monthly,prc_hicp_midx,2018-05,monthly,,HICP food and non-alcoholic beverages,index (2015=100),102.900,food and non-alcoholic beverages,cross-country comparable panel,"Eurostat COICOP CP01, used as the first comparable Nordic food-price backbone."
prices,food_hicp_monthly,hicp_food_dk,DK,Eurostat HICP monthly,prc_hicp_midx,2018-06,monthly,,HICP food and non-alcoholic beverages,index (2015=100),102.900,food and non-alcoholic beverages,cross-country comparable panel,"Eurostat COICOP CP01, used as the first comparable Nordic food-price backbone."
prices,food_hicp_monthly,hicp_food_dk,DK,Eurostat HICP monthly,prc_hicp_midx,2018-07,monthly,,HICP food and non-alcoholic beverages,index (2015=100),103.600,food and non-alcoholic beverages,cross-country comparable panel,"Eurostat COICOP CP01, used as the first comparable Nordic food-price backbone."
prices,food_hicp_monthly,hicp_food_dk,DK,Eurostat HICP monthly,prc_hicp_midx,2018-08,monthly,,HICP food and non-alcoholic beverages,index (2015=100),102.500,food and non-alcoholic beverages,cross-country comparable panel,"Eurostat COICOP CP01, used as the first comparable Nordic food-price backbone."
prices,food_hicp_monthly,hicp_food_dk,DK,Eurostat HICP monthly,prc_hicp_midx,2018-09,monthly,,HICP food and non-alcoholic beverages,index (2015=100),103.100,food and non-alcoholic beverages,cross-country comparable panel,"Eurostat COICOP CP01, used as the first comparable Nordic food-price backbone."
prices,food_hicp_monthly,hicp_food_dk,DK,Eurostat HICP monthly,prc_hicp_midx,2018-10,monthly,,HICP food and non-alcoholic beverages,index (2015=100),102.900,food and non-alcoholic beverages,cross-country comparable panel,"Eurostat COICOP CP01, used as the first comparable Nordic food-price backbone."
prices,food_hicp_monthly,hicp_food_dk,DK,Eurostat HICP monthly,prc_hicp_midx,2018-11,monthly,,HICP food and non-alcoholic beverages,index (2015=100),103.200,food and non-alcoholic beverages,cross-country comparable panel,"Eurostat COICOP CP01, used as the first comparable Nordic food-price backbone."
prices,food_hicp_monthly,hicp_food_dk,DK,Eurostat HICP monthly,prc_hicp_midx,2018-12,monthly,,HICP food and non-alcoholic beverages,index (2015=100),102.700,food and non-alcoholic beverages,cross-country comparable panel,"Eurostat COICOP CP01, used as the first comparable Nordic food-price backbone."
