"record_id","hs_code","ssb_varekoder","product_label_no","export_tonnes_2024","export_value_1000_nok","product_scope","energy_mapping_status","g3_action","notes"
"G3-NO-HS-PRODUCT-079-2024","03056100","03056100_2012","Sild, saltet, men ikke tørket, røykt, i saltlake, unnt spiselige biprodukter og fileter (2012-) (M1=kg,  M2=nei)","1435.089","25866","fillet_or_fish_meat","needs_energy_mapping","map product form and species to Matvaretabellen","SSB table 08801 export all countries summed across Land for 2024; threshold >=1000 tonnes"
"G3-NO-HS-PRODUCT-080-2024","03047301","03047301_2012","Fileter av sei, i blokk, fryst (2012-) (M1=kg,  M2=nei)","1425.732","66314","fillet_or_fish_meat","needs_energy_mapping","map product form and species to Matvaretabellen","SSB table 08801 export all countries summed across Land for 2024; threshold >=1000 tonnes"
"G3-NO-HS-PRODUCT-081-2024","15041091","15041091_1988","Medisintran, unnt faste fraksjoner (1988-) (M1=kg,  M2=nei)","1329.550","224011","fish_oil","needs_scope_decision","exclude from direct food-energy until end use is locked","SSB table 08801 export all countries summed across Land for 2024; threshold >=1000 tonnes"
"G3-NO-HS-PRODUCT-082-2024","03035500","03035500_2017","Taggmakrell (hestemakrell) (Trachurus spp.), fryst, ikke spiselige biprodukter (2017-) (M1=kg,  M2=nei)","1312.323","48115","whole_or_gutted_fish_shellfish","needs_yield_mapping","map species and edible share","SSB table 08801 export all countries summed across Land for 2024; threshold >=1000 tonnes"
"G3-NO-HS-PRODUCT-083-2024","03025400","03025400_2017","Lysing (Merluccius spp., Urophycis spp.), fersk eller kjølt, ikke spiselige biprodukter (2017-) (M1=kg,  M2=nei)","1291.992","84143","whole_or_gutted_fish_shellfish","needs_yield_mapping","map species and edible share","SSB table 08801 export all countries summed across Land for 2024; threshold >=1000 tonnes"
"G3-NO-HS-PRODUCT-084-2024","03039109","03039109_2017","Lever, rogn og melke, unnt av sild og lodde, fryst (2017-) (M1=kg,  M2=nei)","1214.085","60011","edible_byproduct_or_roe","needs_energy_mapping","review edible yield and energy factor","SSB table 08801 export all countries summed across Land for 2024; threshold >=1000 tonnes"
"G3-NO-HS-PRODUCT-085-2024","03025901","03025901_2017","Lyr (Pollachius pollachius), fersk eller kjølt, ikke spiselige biprodukter (2017-) (M1=kg,  M2=nei)","1201.931","65876","whole_or_gutted_fish_shellfish","needs_yield_mapping","map species and edible share","SSB table 08801 export all countries summed across Land for 2024; threshold >=1000 tonnes"
"G3-NO-HS-PRODUCT-086-2024","03022191","03022191_2017","Kveite (Hippoglossus hippoglossus, Hippoglossus stenolepis), unnt blåkveite, oppdrettet, fersk eller kjølt, ikke spiselige biprodukter (2017-) (M1=kg,  M2=nei)","1177.838","196549","whole_or_gutted_fish_shellfish","needs_yield_mapping","map species and edible share","SSB table 08801 export all countries summed across Land for 2024; threshold >=1000 tonnes"
"G3-NO-HS-PRODUCT-087-2024","03035300","03035300_2017","Sardiner (Sardina pilchardus, Sardinops spp), sardinella (Sardinella spp.), brisling (Sprattus sprattus), fryst, ikke spiselige biprodukter (2017-) (M1=kg,  M2=nei)","1162.350","18507","whole_or_gutted_fish_shellfish","needs_yield_mapping","map species and edible share","SSB table 08801 export all countries summed across Land for 2024; threshold >=1000 tonnes"
"G3-NO-HS-PRODUCT-088-2024","03044420","03044420_2012","Fileter av hyse, fersk el kjølt (2012-) (M1=kg,  M2=nei)","1076.949","108509","fillet_or_fish_meat","needs_energy_mapping","map product form and species to Matvaretabellen","SSB table 08801 export all countries summed across Land for 2024; threshold >=1000 tonnes"
