country_code,country_name,municipality_code,municipality_name,population,area_km2,method,total_stores,parent_hhi_store_count_proxy,top_parent,top_parent_store_share_pct,stores_per_10000_population,unknown_parent_store_count,parent_counts,assigned_country_store_points,unassigned_country_store_points,data_quality
se,Sverige,1494,Lidköping,10930,485,store_count_proxy,15,2444,ICA Gruppen,33.3,13.7,4,ICA Gruppen:5|Unknown:4|Coop Sverige:3|Axfood:2|Lidl:1,5049,0,ok
se,Sverige,1495,Skara,55530,378,store_count_proxy,8,2500,Unknown,37.5,1.4,3,Unknown:3|ICA Gruppen:2|Axfood:1|Bergendahls:1|Coop Sverige:1,5049,0,ok
se,Sverige,1496,Skövde,42910,464,store_count_proxy,29,3080,Unknown,44.8,6.8,13,Unknown:13|ICA Gruppen:8|Axfood:4|Coop Sverige:3|Lidl:1,5049,0,ok
se,Sverige,1497,Hjo,27690,492,store_count_proxy,5,4400,Unknown,60,1.8,3,Unknown:3|ICA Gruppen:1|Coop Sverige:1,5049,0,ok
se,Sverige,1498,Tidaholm,33170,413,store_count_proxy,4,2500,Unknown,25,1.2,1,Unknown:1|Axfood:1|Coop Sverige:1|ICA Gruppen:1,5049,0,ok
se,Sverige,1499,Falköping,20770,467,store_count_proxy,14,2857,Unknown,35.7,6.7,5,Unknown:5|ICA Gruppen:5|Axfood:2|Coop Sverige:1|Lidl:1,5049,0,ok
se,Sverige,1715,Kil,8120,2076,store_count_proxy,6,2778,Unknown,33.3,7.4,2,Unknown:2|Coop Sverige:2|Axfood:1|ICA Gruppen:1,5049,0,ok
se,Sverige,1730,Eda,8360,3036,store_count_proxy,13,3964,Unknown,53.8,15.6,7,Unknown:7|Coop Sverige:4|Lidl:1|ICA Gruppen:1,5049,0,ok
se,Sverige,1737,Torsby,11420,1568,store_count_proxy,16,4297,Unknown,56.3,14,9,Unknown:9|ICA Gruppen:5|Coop Sverige:2,5049,0,ok
se,Sverige,1760,Storfors,25040,5360,store_count_proxy,3,3333,Unknown,33.3,1.2,1,Unknown:1|ICA Gruppen:1|Coop Sverige:1,5049,0,ok
se,Sverige,1761,Hammarö,13470,2755,store_count_proxy,5,3600,Unknown,40,3.7,2,Unknown:2|ICA Gruppen:2|Coop Sverige:1,5049,0,ok
se,Sverige,1762,Munkfors,11250,2403,store_count_proxy,2,5000,Unknown,50,1.8,1,Unknown:1|ICA Gruppen:1,5049,0,ok
se,Sverige,1763,Forshaga,24050,2133,store_count_proxy,5,5200,Coop Sverige,60,2.1,0,Coop Sverige:3|ICA Gruppen:2,5049,0,ok
se,Sverige,1764,Grums,5850,3564,store_count_proxy,4,2500,ICA Gruppen,25,6.8,1,ICA Gruppen:1|Axfood:1|Coop Sverige:1|Unknown:1,5049,0,ok
se,Sverige,1765,Årjäng,5820,3030,store_count_proxy,8,5313,Unknown,62.5,13.7,5,Unknown:5|ICA Gruppen:3,5049,0,ok
se,Sverige,1766,Sunne,7300,2223,store_count_proxy,9,4074,Unknown,55.6,12.3,5,Unknown:5|Coop Sverige:2|ICA Gruppen:2,5049,0,ok
se,Sverige,1780,Karlstad,28380,2260,store_count_proxy,48,2908,Unknown,39.6,16.9,19,Unknown:19|Coop Sverige:14|ICA Gruppen:10|Axfood:3|Lidl:2,5049,0,ok
se,Sverige,1781,Kristinehamn,63560,2143,store_count_proxy,13,2781,Unknown,38.5,2,5,Unknown:5|ICA Gruppen:4|Axfood:2|Coop Sverige:1|Lidl:1,5049,0,ok
se,Sverige,1782,Filipstad,12810,1745,store_count_proxy,10,4200,Unknown,60,7.8,6,Unknown:6|Coop Sverige:2|Lidl:1|ICA Gruppen:1,5049,0,ok
se,Sverige,1783,Hagfors,8500,2449,store_count_proxy,13,5148,Unknown,69.2,15.3,9,Unknown:9|ICA Gruppen:2|Coop Sverige:1|Lidl:1,5049,0,ok
se,Sverige,1784,Arvika,14610,1503,store_count_proxy,16,3516,Unknown,43.8,11,7,Unknown:7|ICA Gruppen:6|Coop Sverige:2|Lidl:1,5049,0,ok
se,Sverige,1785,Säffle,59870,2223,store_count_proxy,12,2361,ICA Gruppen,33.3,2,3,ICA Gruppen:4|Unknown:3|Coop Sverige:2|Axfood:2|Lidl:1,5049,0,ok
se,Sverige,1814,Lekeberg,7510,6800,store_count_proxy,3,5556,ICA Gruppen,66.7,4,0,ICA Gruppen:2|Coop Sverige:1,5049,0,ok
se,Sverige,1860,Laxå,15260,3543,store_count_proxy,5,3600,Unknown,40,3.3,2,Unknown:2|ICA Gruppen:2|Coop Sverige:1,5049,0,ok
