fartoy_id;antall_sedler;antall_linjer;rundvekt_kg;fangstverdi_kr;siste_landingsdato;topp3_arter_rundvekt
1974004395;2;10;16680.4;0.0;2025-10-29;Makrell (16 482 kg) | Norsk vårgytende sild (158 kg) | Hummer (30 kg)
1974006831;11;51;1610.1;57019.0;2025-07-22;Nordøstarktisk torsk (1 008 kg) | Sei (416 kg) | Lyr (59 kg)
1974006984;2;8;146.6;6576.0;2025-02-13;Nordøstarktisk torsk (139 kg) | Sei (8 kg)
1974007613;12;82;3609.7;117928.0;2025-04-16;Nordøstarktisk torsk (2 962 kg) | Sei (367 kg) | Rødspette (131 kg)
1974007663;7;26;7976.5;346938.0;2025-04-19;Nordøstarktisk torsk (7 888 kg) | Sei (88 kg)
1974008629;19;129;6973.2;266755.0;2025-11-12;Nordøstarktisk torsk (6 029 kg) | Sei (236 kg) | Lange (167 kg)
1974009172;38;261;10836.6;72083.0;2025-10-30;Sei (6 172 kg) | Hyse (1 213 kg) | Lange (1 173 kg)
1974009789;4;15;1400.9;632260.0;2025-11-27;Kongekrabbe  hann- (1 164 kg) | Kveite (97 kg) | Nordøstarktisk torsk (58 kg)
1974009951;9;63;15710.2;665333.0;2025-08-13;Nordøstarktisk torsk (14 059 kg) | Kongekrabbe  hann- (1 439 kg) | Brosme (119 kg)
1974010179;19;80;711290.7;78273766.0;2025-12-16;Snøkrabbe (711 291 kg)
1974010395;14;42;3894.1;68772.0;2025-12-09;Sei (2 244 kg) | Nordøstarktisk torsk (1 006 kg) | Nordøstarktisk hyse (268 kg)
1974011710;85;848;69833.2;1221646.0;2025-12-18;Nordøstarktisk torsk (32 683 kg) | Sei (27 147 kg) | Nordøstarktisk hyse (4 301 kg)
1974012041;45;170;40784.5;1193683.0;2025-12-18;Nordøstarktisk torsk (23 843 kg) | Sei (14 963 kg) | Kveite (1 640 kg)
1975000892;7;34;11804.6;527835.0;2025-08-23;Blåkveite (10 042 kg) | Nordøstarktisk torsk (1 702 kg) | Nordøstarktisk hyse (14 kg)
1975000921;33;189;34642.8;966613.0;2025-12-13;Blåkveite (9 652 kg) | Nordøstarktisk torsk (9 280 kg) | Nordøstarktisk hyse (5 262 kg)
1975002636;27;95;1422.7;295657.0;2025-09-15;Kongekrabbe  hann- (701 kg) | Nordøstarktisk torsk (646 kg) | Kveite (49 kg)
1975002821;40;405;71015.1;3009690.0;2025-10-01;Nordøstarktisk torsk (44 614 kg) | Nordøstarktisk hyse (12 282 kg) | Blåkveite (9 266 kg)
1975002990;14;58;16689.0;1430793.0;2025-07-17;Nordøstarktisk torsk (15 165 kg) | Kongekrabbe  hann- (1 439 kg) | Kongekrabbe  hunn- (85 kg)
1975004169;11;62;1136.3;5732.0;2025-11-26;Sei (623 kg) | Breiflabb (284 kg) | Torsk (73 kg)
1975004601;71;349;21957.5;524364.0;2025-11-11;Nordøstarktisk torsk (7 080 kg) | Sei (4 628 kg) | Breiflabb (4 130 kg)
1975005129;7;73;18491.8;928218.0;2025-03-07;Nordøstarktisk torsk (18 339 kg) | Nordøstarktisk hyse (107 kg) | Breiflabb (20 kg)
1975006921;54;359;8585.8;129921.0;2025-10-01;Sei (4 203 kg) | Nordøstarktisk hyse (1 527 kg) | Nordøstarktisk torsk (929 kg)
1975007050;6;70;68465.4;3180144.0;2025-04-16;Nordøstarktisk torsk (62 789 kg) | Nordøstarktisk hyse (5 071 kg) | Sei (386 kg)
1975007312;26;232;11936.8;275180.0;2025-10-01;Nordøstarktisk torsk (4 642 kg) | Nordøstarktisk hyse (3 936 kg) | Sei (1 724 kg)
1975007664;57;424;28269.0;284338.0;2025-11-04;Sei (14 904 kg) | Hyse (5 565 kg) | Torsk (2 519 kg)
1975007984;25;120;9384.7;157087.0;2025-12-11;Nordøstarktisk torsk (4 532 kg) | Sei (2 847 kg) | Kongekrabbe  hann- (707 kg)
1975008806;2;6;52926.0;0.0;2025-08-27;Makrell (51 972 kg) | Hestmakrell (429 kg) | Sei (361 kg)
1975010063;76;642;58375.0;916735.0;2025-12-12;Nordøstarktisk torsk (24 228 kg) | Sei (22 546 kg) | Brosme (2 937 kg)
1975010140;27;191;9775.0;370542.0;2025-11-19;Nordøstarktisk torsk (6 745 kg) | Kongekrabbe  hann- (1 561 kg) | Sei (734 kg)
1975010429;20;82;4210.4;154814.0;2025-12-09;Nordøstarktisk torsk (3 388 kg) | Brosme (484 kg) | Kveite (197 kg)
1975010906;29;148;33199.6;1389217.0;2025-12-17;Nordøstarktisk torsk (25 573 kg) | Breiflabb (5 547 kg) | Kveite (1 726 kg)
