Konsumgrp,ContentsCode,Tid,Konsumgrp_label,ContentsCode_label,Tid_label,value
01,KpiIndMnd,2025M03,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2025M03,136.8
01,KpiIndMnd,2025M04,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2025M04,134.2
01,KpiIndMnd,2025M05,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2025M05,138
01,KpiIndMnd,2025M06,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2025M06,139.9
01,KpiIndMnd,2025M07,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2025M07,146
01,KpiIndMnd,2025M08,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2025M08,143.4
01,KpiIndMnd,2025M09,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2025M09,142.2
01,KpiIndMnd,2025M10,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2025M10,143
01,KpiIndMnd,2025M11,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2025M11,141.6
01,KpiIndMnd,2025M12,Food and non-alcoholic beverages,Consumer Price Index (2015=100),2025M12,139.2
