VareTjenesteGrp,ContentsCode,Tid,VareTjenesteGrp_label,ContentsCode_label,Tid_label,value
01,KpiIndMnd,2023M02,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2023M02,86.3
01,KpiIndMnd,2023M03,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2023M03,84.8
01,KpiIndMnd,2023M04,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2023M04,87
01,KpiIndMnd,2023M05,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2023M05,89
01,KpiIndMnd,2023M06,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2023M06,91.1
01,KpiIndMnd,2023M07,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2023M07,94
01,KpiIndMnd,2023M08,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2023M08,93.1
01,KpiIndMnd,2023M09,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2023M09,92
01,KpiIndMnd,2023M10,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2023M10,92.8
01,KpiIndMnd,2023M11,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2023M11,92.9
01,KpiIndMnd,2023M12,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2023M12,91
01,KpiIndMnd,2024M01,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2024M01,92.3
01,KpiIndMnd,2024M02,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2024M02,91.7
01,KpiIndMnd,2024M03,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2024M03,90
01,KpiIndMnd,2024M04,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2024M04,92.9
01,KpiIndMnd,2024M05,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2024M05,93.8
01,KpiIndMnd,2024M06,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2024M06,95.6
01,KpiIndMnd,2024M07,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2024M07,98.7
01,KpiIndMnd,2024M08,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2024M08,97.3
01,KpiIndMnd,2024M09,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2024M09,95.7
01,KpiIndMnd,2024M10,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2024M10,96.4
01,KpiIndMnd,2024M11,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2024M11,96.8
01,KpiIndMnd,2024M12,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2024M12,94.6
01,KpiIndMnd,2025M01,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2025M01,96.9
01,KpiIndMnd,2025M02,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2025M02,98.6
01,KpiIndMnd,2025M03,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2025M03,97.8
01,KpiIndMnd,2025M04,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2025M04,96
01,KpiIndMnd,2025M05,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2025M05,98.7
01,KpiIndMnd,2025M06,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2025M06,100.1
01,KpiIndMnd,2025M07,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2025M07,104.5
01,KpiIndMnd,2025M08,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2025M08,102.6
01,KpiIndMnd,2025M09,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2025M09,101.7
01,KpiIndMnd,2025M10,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2025M10,102.3
01,KpiIndMnd,2025M11,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2025M11,101.3
01,KpiIndMnd,2025M12,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2025M12,99.6
01,KpiIndMnd,2026M01,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2026M01,101
01,KpiIndMnd,2026M02,Food and non-alcoholic beverages,Consumer Price Index (2025=100),2026M02,101.9
