Kuukausi,Hyödyke,Tiedot,Kuukausi_label,Hyödyke_label,Tiedot_label,value
2022M03,01,ip_ykhi,2022M03,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",85.47
2022M04,01,ip_ykhi,2022M04,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",86.27
2022M05,01,ip_ykhi,2022M05,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",88.52
2022M06,01,ip_ykhi,2022M06,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",89.62
2022M07,01,ip_ykhi,2022M07,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",90.97
2022M08,01,ip_ykhi,2022M08,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",91.11
2022M09,01,ip_ykhi,2022M09,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",93.05
2022M10,01,ip_ykhi,2022M10,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",94.4
2022M11,01,ip_ykhi,2022M11,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",95.22
2022M12,01,ip_ykhi,2022M12,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",94.92
2023M01,01,ip_ykhi,2023M01,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",96.41
2023M02,01,ip_ykhi,2023M02,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",98.63
2023M03,01,ip_ykhi,2023M03,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",99.31
2023M04,01,ip_ykhi,2023M04,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",98.09
2023M05,01,ip_ykhi,2023M05,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",98.33
2023M06,01,ip_ykhi,2023M06,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",97.89
2023M07,01,ip_ykhi,2023M07,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",98.39
2023M08,01,ip_ykhi,2023M08,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",97.3
2023M09,01,ip_ykhi,2023M09,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",97.37
2023M10,01,ip_ykhi,2023M10,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",98.15
2023M11,01,ip_ykhi,2023M11,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",98.04
2023M12,01,ip_ykhi,2023M12,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",97.13
2024M01,01,ip_ykhi,2024M01,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",97.94
2024M02,01,ip_ykhi,2024M02,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",98.16
2024M03,01,ip_ykhi,2024M03,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",97.67
2024M04,01,ip_ykhi,2024M04,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",97.84
2024M05,01,ip_ykhi,2024M05,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",97.75
2024M06,01,ip_ykhi,2024M06,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",97.52
2024M07,01,ip_ykhi,2024M07,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",98.14
2024M08,01,ip_ykhi,2024M08,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",97.25
