freq,unit,coicop,geo,time,freq_label,unit_label,coicop_label,geo_label,time_label,value
M,I15,CP01,FI,2015-05,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2015-05,100.14
M,I15,CP01,FI,2015-06,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2015-06,99.94
M,I15,CP01,FI,2015-07,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2015-07,98.76
M,I15,CP01,FI,2015-08,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2015-08,98.69
M,I15,CP01,FI,2015-09,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2015-09,98.73
M,I15,CP01,FI,2015-10,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2015-10,99.64
M,I15,CP01,FI,2015-11,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2015-11,100.0
M,I15,CP01,FI,2015-12,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2015-12,99.85
M,I15,CP01,FI,2016-01,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2016-01,99.62
M,I15,CP01,FI,2016-02,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2016-02,99.29
M,I15,CP01,FI,2016-03,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2016-03,99.4
M,I15,CP01,FI,2016-04,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2016-04,99.68
M,I15,CP01,FI,2016-05,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2016-05,98.52
M,I15,CP01,FI,2016-06,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2016-06,98.32
M,I15,CP01,FI,2016-07,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2016-07,98.76
M,I15,CP01,FI,2016-08,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2016-08,98.2
M,I15,CP01,FI,2016-09,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2016-09,98.15
M,I15,CP01,FI,2016-10,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2016-10,98.38
M,I15,CP01,FI,2016-11,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2016-11,99.22
M,I15,CP01,FI,2016-12,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2016-12,99.3
M,I15,CP01,FI,2017-01,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2017-01,97.2
M,I15,CP01,FI,2017-02,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2017-02,98.74
M,I15,CP01,FI,2017-03,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2017-03,97.72
M,I15,CP01,FI,2017-04,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2017-04,97.93
M,I15,CP01,FI,2017-05,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2017-05,97.52
M,I15,CP01,FI,2017-06,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2017-06,97.33
M,I15,CP01,FI,2017-07,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2017-07,97.29
M,I15,CP01,FI,2017-08,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2017-08,98.11
M,I15,CP01,FI,2017-09,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2017-09,97.71
M,I15,CP01,FI,2017-10,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2017-10,98.01
M,I15,CP01,FI,2017-11,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2017-11,98.95
M,I15,CP01,FI,2017-12,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2017-12,99.23
M,I15,CP01,FI,2018-01,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2018-01,98.68
M,I15,CP01,FI,2018-02,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2018-02,99.98
M,I15,CP01,FI,2018-03,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2018-03,100.21
M,I15,CP01,FI,2018-04,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2018-04,99.58
M,I15,CP01,FI,2018-05,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2018-05,99.84
M,I15,CP01,FI,2018-06,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2018-06,99.62
M,I15,CP01,FI,2018-07,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2018-07,99.26
M,I15,CP01,FI,2018-08,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2018-08,99.86
M,I15,CP01,FI,2018-09,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2018-09,100.45
M,I15,CP01,FI,2018-10,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2018-10,100.58
M,I15,CP01,FI,2018-11,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2018-11,100.05
M,I15,CP01,FI,2018-12,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2018-12,100.34
M,I15,CP01,FI,2019-01,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2019-01,100.72
M,I15,CP01,FI,2019-02,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2019-02,102.02
