VAREGR,ENHED,ContentsCode,Tid,VAREGR_label,ENHED_label,ContentsCode_label,Tid_label,value
01,100,PRIS07,2021M04,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2021M04,77.3
01,100,PRIS07,2021M05,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2021M05,77.35
01,100,PRIS07,2021M06,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2021M06,77.41
01,100,PRIS07,2021M07,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2021M07,78.66
01,100,PRIS07,2021M08,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2021M08,77.89
01,100,PRIS07,2021M09,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2021M09,77.87
01,100,PRIS07,2021M10,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2021M10,77.91
01,100,PRIS07,2021M11,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2021M11,78.6
01,100,PRIS07,2021M12,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2021M12,77.4
01,100,PRIS07,2022M01,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2022M01,79.72
01,100,PRIS07,2022M02,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2022M02,81.3
01,100,PRIS07,2022M03,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2022M03,81.3
01,100,PRIS07,2022M04,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2022M04,82.78
01,100,PRIS07,2022M05,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2022M05,85.13
01,100,PRIS07,2022M06,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2022M06,87.51
01,100,PRIS07,2022M07,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2022M07,90.17
01,100,PRIS07,2022M08,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2022M08,90.26
01,100,PRIS07,2022M09,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2022M09,89.76
01,100,PRIS07,2022M10,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2022M10,90.21
01,100,PRIS07,2022M11,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2022M11,90.61
01,100,PRIS07,2022M12,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2022M12,88.92
01,100,PRIS07,2023M01,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2023M01,91.26
01,100,PRIS07,2023M02,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2023M02,93.33
01,100,PRIS07,2023M03,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2023M03,94.13
01,100,PRIS07,2023M04,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2023M04,93.62
01,100,PRIS07,2023M05,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2023M05,94.13
01,100,PRIS07,2023M06,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2023M06,95.16
01,100,PRIS07,2023M07,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2023M07,96.17
