Marked,NaringUtenriks,ContentsCode,Tid,Marked_label,NaringUtenriks_label,ContentsCode_label,Tid_label,value
01,SNN10,Indeksnivo,2022M05,Domestic market,Food products,Producer price index (2021=100),2022M05,111.9
01,SNN10,Indeksnivo,2022M06,Domestic market,Food products,Producer price index (2021=100),2022M06,113.1
01,SNN10,Indeksnivo,2022M07,Domestic market,Food products,Producer price index (2021=100),2022M07,119.5
01,SNN10,Indeksnivo,2022M08,Domestic market,Food products,Producer price index (2021=100),2022M08,119.4
01,SNN10,Indeksnivo,2022M09,Domestic market,Food products,Producer price index (2021=100),2022M09,120.2
01,SNN10,Indeksnivo,2022M10,Domestic market,Food products,Producer price index (2021=100),2022M10,121.5
01,SNN10,Indeksnivo,2022M11,Domestic market,Food products,Producer price index (2021=100),2022M11,124.3
01,SNN10,Indeksnivo,2022M12,Domestic market,Food products,Producer price index (2021=100),2022M12,124.5
01,SNN10,Indeksnivo,2023M01,Domestic market,Food products,Producer price index (2021=100),2023M01,125.6
01,SNN10,Indeksnivo,2023M02,Domestic market,Food products,Producer price index (2021=100),2023M02,126.6
01,SNN10,Indeksnivo,2023M03,Domestic market,Food products,Producer price index (2021=100),2023M03,128.6
01,SNN10,Indeksnivo,2023M04,Domestic market,Food products,Producer price index (2021=100),2023M04,128.7
01,SNN10,Indeksnivo,2023M05,Domestic market,Food products,Producer price index (2021=100),2023M05,128.9
01,SNN10,Indeksnivo,2023M06,Domestic market,Food products,Producer price index (2021=100),2023M06,128.9
01,SNN10,Indeksnivo,2023M07,Domestic market,Food products,Producer price index (2021=100),2023M07,130.3
01,SNN10,Indeksnivo,2023M08,Domestic market,Food products,Producer price index (2021=100),2023M08,129.4
01,SNN10,Indeksnivo,2023M09,Domestic market,Food products,Producer price index (2021=100),2023M09,128.2
01,SNN10,Indeksnivo,2023M10,Domestic market,Food products,Producer price index (2021=100),2023M10,129.4
01,SNN10,Indeksnivo,2023M11,Domestic market,Food products,Producer price index (2021=100),2023M11,131.1
01,SNN10,Indeksnivo,2023M12,Domestic market,Food products,Producer price index (2021=100),2023M12,131.4
01,SNN10,Indeksnivo,2024M01,Domestic market,Food products,Producer price index (2021=100),2024M01,131
01,SNN10,Indeksnivo,2024M02,Domestic market,Food products,Producer price index (2021=100),2024M02,132.7
01,SNN10,Indeksnivo,2024M03,Domestic market,Food products,Producer price index (2021=100),2024M03,132.7
01,SNN10,Indeksnivo,2024M04,Domestic market,Food products,Producer price index (2021=100),2024M04,132.6
01,SNN10,Indeksnivo,2024M05,Domestic market,Food products,Producer price index (2021=100),2024M05,132.3
01,SNN10,Indeksnivo,2024M06,Domestic market,Food products,Producer price index (2021=100),2024M06,131.6
01,SNN10,Indeksnivo,2024M07,Domestic market,Food products,Producer price index (2021=100),2024M07,132.5
01,SNN10,Indeksnivo,2024M08,Domestic market,Food products,Producer price index (2021=100),2024M08,132.6
01,SNN10,Indeksnivo,2024M09,Domestic market,Food products,Producer price index (2021=100),2024M09,133
01,SNN10,Indeksnivo,2024M10,Domestic market,Food products,Producer price index (2021=100),2024M10,133.8
01,SNN10,Indeksnivo,2024M11,Domestic market,Food products,Producer price index (2021=100),2024M11,133.7
01,SNN10,Indeksnivo,2024M12,Domestic market,Food products,Producer price index (2021=100),2024M12,133.4
01,SNN10,Indeksnivo,2025M01,Domestic market,Food products,Producer price index (2021=100),2025M01,132.3
01,SNN10,Indeksnivo,2025M02,Domestic market,Food products,Producer price index (2021=100),2025M02,133.7
