code,description,classification,year,country,flow,indicator,kg,product_key,url,error
120190,"Soybeans, other",Classification of Products CN6,2017,AA All countries together,Imports by countries of origin,V3 Quantity kg,12553367,"120190 (2012--.) Soya beans, whether or not broken (excl. seed for sowing)",https://uljas.tulli.fi/uljas/graph/api.aspx?lang=en&atype=data&konv=json&ifile=%2FDATABASE%2F01+ULKOMAANKAUPPATILASTOT%2F01+CN%2FULJAS_CN2&Classification+of+Products+CN6=120190&Year=2017&Country=AA&Flow=1&Indicators=V3,
120190,"Soybeans, other",Classification of Products CN6,2018,AA All countries together,Imports by countries of origin,V3 Quantity kg,47462880,"120190 (2012--.) Soya beans, whether or not broken (excl. seed for sowing)",https://uljas.tulli.fi/uljas/graph/api.aspx?lang=en&atype=data&konv=json&ifile=%2FDATABASE%2F01+ULKOMAANKAUPPATILASTOT%2F01+CN%2FULJAS_CN2&Classification+of+Products+CN6=120190&Year=2018&Country=AA&Flow=1&Indicators=V3,
120190,"Soybeans, other",Classification of Products CN6,2019,AA All countries together,Imports by countries of origin,V3 Quantity kg,23665625,"120190 (2012--.) Soya beans, whether or not broken (excl. seed for sowing)",https://uljas.tulli.fi/uljas/graph/api.aspx?lang=en&atype=data&konv=json&ifile=%2FDATABASE%2F01+ULKOMAANKAUPPATILASTOT%2F01+CN%2FULJAS_CN2&Classification+of+Products+CN6=120190&Year=2019&Country=AA&Flow=1&Indicators=V3,
120190,"Soybeans, other",Classification of Products CN6,2020,AA All countries together,Imports by countries of origin,V3 Quantity kg,28515568,"120190 (2012--.) Soya beans, whether or not broken (excl. seed for sowing)",https://uljas.tulli.fi/uljas/graph/api.aspx?lang=en&atype=data&konv=json&ifile=%2FDATABASE%2F01+ULKOMAANKAUPPATILASTOT%2F01+CN%2FULJAS_CN2&Classification+of+Products+CN6=120190&Year=2020&Country=AA&Flow=1&Indicators=V3,
120190,"Soybeans, other",Classification of Products CN6,2021,AA All countries together,Imports by countries of origin,V3 Quantity kg,26812039,"120190 (2012--.) Soya beans, whether or not broken (excl. seed for sowing)",https://uljas.tulli.fi/uljas/graph/api.aspx?lang=en&atype=data&konv=json&ifile=%2FDATABASE%2F01+ULKOMAANKAUPPATILASTOT%2F01+CN%2FULJAS_CN2&Classification+of+Products+CN6=120190&Year=2021&Country=AA&Flow=1&Indicators=V3,
120190,"Soybeans, other",Classification of Products CN6,2022,AA All countries together,Imports by countries of origin,V3 Quantity kg,25351448,"120190 (2012--.) Soya beans, whether or not broken (excl. seed for sowing)",https://uljas.tulli.fi/uljas/graph/api.aspx?lang=en&atype=data&konv=json&ifile=%2FDATABASE%2F01+ULKOMAANKAUPPATILASTOT%2F01+CN%2FULJAS_CN2&Classification+of+Products+CN6=120190&Year=2022&Country=AA&Flow=1&Indicators=V3,
120190,"Soybeans, other",Classification of Products CN6,2023,AA All countries together,Imports by countries of origin,V3 Quantity kg,20562651,"120190 (2012--.) Soya beans, whether or not broken (excl. seed for sowing)",https://uljas.tulli.fi/uljas/graph/api.aspx?lang=en&atype=data&konv=json&ifile=%2FDATABASE%2F01+ULKOMAANKAUPPATILASTOT%2F01+CN%2FULJAS_CN2&Classification+of+Products+CN6=120190&Year=2023&Country=AA&Flow=1&Indicators=V3,
120190,"Soybeans, other",Classification of Products CN6,2024,AA All countries together,Imports by countries of origin,V3 Quantity kg,5958444,"120190 (2012--.) Soya beans, whether or not broken (excl. seed for sowing)",https://uljas.tulli.fi/uljas/graph/api.aspx?lang=en&atype=data&konv=json&ifile=%2FDATABASE%2F01+ULKOMAANKAUPPATILASTOT%2F01+CN%2FULJAS_CN2&Classification+of+Products+CN6=120190&Year=2024&Country=AA&Flow=1&Indicators=V3,
120190,"Soybeans, other",Classification of Products CN6,2025,AA All countries together,Imports by countries of origin,V3 Quantity kg,5778949,"120190 (2012--.) Soya beans, whether or not broken (excl. seed for sowing)",https://uljas.tulli.fi/uljas/graph/api.aspx?lang=en&atype=data&konv=json&ifile=%2FDATABASE%2F01+ULKOMAANKAUPPATILASTOT%2F01+CN%2FULJAS_CN2&Classification+of+Products+CN6=120190&Year=2025&Country=AA&Flow=1&Indicators=V3,
2304,Soybean oilcake/meal aggregate,Classification of Products CN,2015,AA All countries together,Imports by countries of origin,V3 Quantity kg,128443972,"2304 (2002--.) Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of soya-bean oil",https://uljas.tulli.fi/uljas/graph/api.aspx?lang=en&atype=data&konv=json&ifile=%2FDATABASE%2F01+ULKOMAANKAUPPATILASTOT%2F01+CN%2FULJAS_CN2&Classification+of+Products+CN=2304&Year=2015&Country=AA&Flow=1&Indicators=V3,
2304,Soybean oilcake/meal aggregate,Classification of Products CN,2016,AA All countries together,Imports by countries of origin,V3 Quantity kg,105743391,"2304 (2002--.) Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of soya-bean oil",https://uljas.tulli.fi/uljas/graph/api.aspx?lang=en&atype=data&konv=json&ifile=%2FDATABASE%2F01+ULKOMAANKAUPPATILASTOT%2F01+CN%2FULJAS_CN2&Classification+of+Products+CN=2304&Year=2016&Country=AA&Flow=1&Indicators=V3,
2304,Soybean oilcake/meal aggregate,Classification of Products CN,2017,AA All countries together,Imports by countries of origin,V3 Quantity kg,113208086,"2304 (2002--.) Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of soya-bean oil",https://uljas.tulli.fi/uljas/graph/api.aspx?lang=en&atype=data&konv=json&ifile=%2FDATABASE%2F01+ULKOMAANKAUPPATILASTOT%2F01+CN%2FULJAS_CN2&Classification+of+Products+CN=2304&Year=2017&Country=AA&Flow=1&Indicators=V3,
2304,Soybean oilcake/meal aggregate,Classification of Products CN,2018,AA All countries together,Imports by countries of origin,V3 Quantity kg,98180113,"2304 (2002--.) Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of soya-bean oil",https://uljas.tulli.fi/uljas/graph/api.aspx?lang=en&atype=data&konv=json&ifile=%2FDATABASE%2F01+ULKOMAANKAUPPATILASTOT%2F01+CN%2FULJAS_CN2&Classification+of+Products+CN=2304&Year=2018&Country=AA&Flow=1&Indicators=V3,
2304,Soybean oilcake/meal aggregate,Classification of Products CN,2019,AA All countries together,Imports by countries of origin,V3 Quantity kg,135602307,"2304 (2002--.) Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of soya-bean oil",https://uljas.tulli.fi/uljas/graph/api.aspx?lang=en&atype=data&konv=json&ifile=%2FDATABASE%2F01+ULKOMAANKAUPPATILASTOT%2F01+CN%2FULJAS_CN2&Classification+of+Products+CN=2304&Year=2019&Country=AA&Flow=1&Indicators=V3,
2304,Soybean oilcake/meal aggregate,Classification of Products CN,2020,AA All countries together,Imports by countries of origin,V3 Quantity kg,117497109,"2304 (2002--.) Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of soya-bean oil",https://uljas.tulli.fi/uljas/graph/api.aspx?lang=en&atype=data&konv=json&ifile=%2FDATABASE%2F01+ULKOMAANKAUPPATILASTOT%2F01+CN%2FULJAS_CN2&Classification+of+Products+CN=2304&Year=2020&Country=AA&Flow=1&Indicators=V3,
2304,Soybean oilcake/meal aggregate,Classification of Products CN,2021,AA All countries together,Imports by countries of origin,V3 Quantity kg,125252833,"2304 (2002--.) Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of soya-bean oil",https://uljas.tulli.fi/uljas/graph/api.aspx?lang=en&atype=data&konv=json&ifile=%2FDATABASE%2F01+ULKOMAANKAUPPATILASTOT%2F01+CN%2FULJAS_CN2&Classification+of+Products+CN=2304&Year=2021&Country=AA&Flow=1&Indicators=V3,
2304,Soybean oilcake/meal aggregate,Classification of Products CN,2022,AA All countries together,Imports by countries of origin,V3 Quantity kg,143763783,"2304 (2002--.) Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of soya-bean oil",https://uljas.tulli.fi/uljas/graph/api.aspx?lang=en&atype=data&konv=json&ifile=%2FDATABASE%2F01+ULKOMAANKAUPPATILASTOT%2F01+CN%2FULJAS_CN2&Classification+of+Products+CN=2304&Year=2022&Country=AA&Flow=1&Indicators=V3,
2304,Soybean oilcake/meal aggregate,Classification of Products CN,2023,AA All countries together,Imports by countries of origin,V3 Quantity kg,87269531,"2304 (2002--.) Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of soya-bean oil",https://uljas.tulli.fi/uljas/graph/api.aspx?lang=en&atype=data&konv=json&ifile=%2FDATABASE%2F01+ULKOMAANKAUPPATILASTOT%2F01+CN%2FULJAS_CN2&Classification+of+Products+CN=2304&Year=2023&Country=AA&Flow=1&Indicators=V3,
2304,Soybean oilcake/meal aggregate,Classification of Products CN,2024,AA All countries together,Imports by countries of origin,V3 Quantity kg,124421787,"2304 (2002--.) Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of soya-bean oil",https://uljas.tulli.fi/uljas/graph/api.aspx?lang=en&atype=data&konv=json&ifile=%2FDATABASE%2F01+ULKOMAANKAUPPATILASTOT%2F01+CN%2FULJAS_CN2&Classification+of+Products+CN=2304&Year=2024&Country=AA&Flow=1&Indicators=V3,
2304,Soybean oilcake/meal aggregate,Classification of Products CN,2025,AA All countries together,Imports by countries of origin,V3 Quantity kg,127608382,"2304 (2002--.) Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of soya-bean oil",https://uljas.tulli.fi/uljas/graph/api.aspx?lang=en&atype=data&konv=json&ifile=%2FDATABASE%2F01+ULKOMAANKAUPPATILASTOT%2F01+CN%2FULJAS_CN2&Classification+of+Products+CN=2304&Year=2025&Country=AA&Flow=1&Indicators=V3,
230400,Soybean oilcake/meal CN6,Classification of Products CN6,2015,AA All countries together,Imports by countries of origin,V3 Quantity kg,128443972,"230400 (2002--.) Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of soya-bean oil",https://uljas.tulli.fi/uljas/graph/api.aspx?lang=en&atype=data&konv=json&ifile=%2FDATABASE%2F01+ULKOMAANKAUPPATILASTOT%2F01+CN%2FULJAS_CN2&Classification+of+Products+CN6=230400&Year=2015&Country=AA&Flow=1&Indicators=V3,
230400,Soybean oilcake/meal CN6,Classification of Products CN6,2016,AA All countries together,Imports by countries of origin,V3 Quantity kg,105743391,"230400 (2002--.) Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of soya-bean oil",https://uljas.tulli.fi/uljas/graph/api.aspx?lang=en&atype=data&konv=json&ifile=%2FDATABASE%2F01+ULKOMAANKAUPPATILASTOT%2F01+CN%2FULJAS_CN2&Classification+of+Products+CN6=230400&Year=2016&Country=AA&Flow=1&Indicators=V3,
230400,Soybean oilcake/meal CN6,Classification of Products CN6,2017,AA All countries together,Imports by countries of origin,V3 Quantity kg,113208086,"230400 (2002--.) Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of soya-bean oil",https://uljas.tulli.fi/uljas/graph/api.aspx?lang=en&atype=data&konv=json&ifile=%2FDATABASE%2F01+ULKOMAANKAUPPATILASTOT%2F01+CN%2FULJAS_CN2&Classification+of+Products+CN6=230400&Year=2017&Country=AA&Flow=1&Indicators=V3,
230400,Soybean oilcake/meal CN6,Classification of Products CN6,2018,AA All countries together,Imports by countries of origin,V3 Quantity kg,98180113,"230400 (2002--.) Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of soya-bean oil",https://uljas.tulli.fi/uljas/graph/api.aspx?lang=en&atype=data&konv=json&ifile=%2FDATABASE%2F01+ULKOMAANKAUPPATILASTOT%2F01+CN%2FULJAS_CN2&Classification+of+Products+CN6=230400&Year=2018&Country=AA&Flow=1&Indicators=V3,
230400,Soybean oilcake/meal CN6,Classification of Products CN6,2019,AA All countries together,Imports by countries of origin,V3 Quantity kg,135602307,"230400 (2002--.) Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of soya-bean oil",https://uljas.tulli.fi/uljas/graph/api.aspx?lang=en&atype=data&konv=json&ifile=%2FDATABASE%2F01+ULKOMAANKAUPPATILASTOT%2F01+CN%2FULJAS_CN2&Classification+of+Products+CN6=230400&Year=2019&Country=AA&Flow=1&Indicators=V3,
230400,Soybean oilcake/meal CN6,Classification of Products CN6,2020,AA All countries together,Imports by countries of origin,V3 Quantity kg,117497109,"230400 (2002--.) Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of soya-bean oil",https://uljas.tulli.fi/uljas/graph/api.aspx?lang=en&atype=data&konv=json&ifile=%2FDATABASE%2F01+ULKOMAANKAUPPATILASTOT%2F01+CN%2FULJAS_CN2&Classification+of+Products+CN6=230400&Year=2020&Country=AA&Flow=1&Indicators=V3,
230400,Soybean oilcake/meal CN6,Classification of Products CN6,2021,AA All countries together,Imports by countries of origin,V3 Quantity kg,125252833,"230400 (2002--.) Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of soya-bean oil",https://uljas.tulli.fi/uljas/graph/api.aspx?lang=en&atype=data&konv=json&ifile=%2FDATABASE%2F01+ULKOMAANKAUPPATILASTOT%2F01+CN%2FULJAS_CN2&Classification+of+Products+CN6=230400&Year=2021&Country=AA&Flow=1&Indicators=V3,
230400,Soybean oilcake/meal CN6,Classification of Products CN6,2022,AA All countries together,Imports by countries of origin,V3 Quantity kg,143763783,"230400 (2002--.) Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of soya-bean oil",https://uljas.tulli.fi/uljas/graph/api.aspx?lang=en&atype=data&konv=json&ifile=%2FDATABASE%2F01+ULKOMAANKAUPPATILASTOT%2F01+CN%2FULJAS_CN2&Classification+of+Products+CN6=230400&Year=2022&Country=AA&Flow=1&Indicators=V3,
230400,Soybean oilcake/meal CN6,Classification of Products CN6,2023,AA All countries together,Imports by countries of origin,V3 Quantity kg,87269531,"230400 (2002--.) Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of soya-bean oil",https://uljas.tulli.fi/uljas/graph/api.aspx?lang=en&atype=data&konv=json&ifile=%2FDATABASE%2F01+ULKOMAANKAUPPATILASTOT%2F01+CN%2FULJAS_CN2&Classification+of+Products+CN6=230400&Year=2023&Country=AA&Flow=1&Indicators=V3,
