Output format is unaligned.
ins-104,"Mathem/Oda/Axfood online grocery — konsolidering endte i rekonstruksjon 2024",cmmpax3rs002lu10dr8rtsh2l,"Grossist, distribusjon og logistikkinfrastruktur i Norden",11.100,medium,
ins-105,"Too Good To Go 120 millioner brukere / 1,35 megatonn CO2e unngaatt",cmmpax3t4002ou10dled3hd5b,"Matsvinn og sirkulaer okonomi i matsystemet: Nordisk komparativ analyse",17.200,high,
ins-105,"Too Good To Go 120 millioner brukere / 1,35 megatonn CO2e unngaatt",cmmv9nxz10048w70dm4ig1vyf,"Nordiske avhandlinger og masteroppgaver om matsystemer, dagligvare og matpolitikk (2010–2026)",16.500,high,
ins-105,"Too Good To Go 120 millioner brukere / 1,35 megatonn CO2e unngaatt",cmo87fi4c00jpq30d9w30ry2h,"Jeg trenger en oversikt over hvilke nøkkelindikatorer (KPI-er) som brukes operativt for å måle sirkularitet i nordiske matsystemer — både i offentlige institusjoner (SSB, Nordisk ministerråd, EUs JRC, norske Matsvinnutvalget, danske Fødevarestyrelsen, svenske Jordbruksverket) og i private bransjeorganer (NorgesGruppen, Coop, Axfood, Arla, Tine).",15.100,high,
ins-105,"Too Good To Go 120 millioner brukere / 1,35 megatonn CO2e unngaatt",cmoh2g7ek001xn60dxvb4mhpy,"2021 Impact Report ENG",14.700,medium,
ins-105,"Too Good To Go 120 millioner brukere / 1,35 megatonn CO2e unngaatt",cmmv9nxys0046w70dov6it3a9,"Nordisk Dagligvaremarked: Markedsstruktur og Validering 2024–2026",13.200,medium,
ins-106,"Plantefonden (DK) forpliktet DKK 394m over 116 prosjekter 2023-2025",cmmxa66620033ty0d49joui46,"Markedskonsentrasjon i Skandinavia",24.000,high,y
ins-106,"Plantefonden (DK) forpliktet DKK 394m over 116 prosjekter 2023-2025",cmmpax3td002qu10dxrl7wdei,"Forbruksmonstre og matkonsum i Norden",13.500,medium,
ins-106,"Plantefonden (DK) forpliktet DKK 394m over 116 prosjekter 2023-2025",cmmpax3so002nu10dnuztrpba,"Nordisk HoReCa og Storhusholdning: Komparativ Analyse (2024-2026)",12.000,medium,
ins-106,"Plantefonden (DK) forpliktet DKK 394m over 116 prosjekter 2023-2025",cmmpax3t4002ou10dled3hd5b,"Matsvinn og sirkulaer okonomi i matsystemet: Nordisk komparativ analyse",12.000,medium,
ins-106,"Plantefonden (DK) forpliktet DKK 394m over 116 prosjekter 2023-2025",cmmpax3rs002lu10dr8rtsh2l,"Grossist, distribusjon og logistikkinfrastruktur i Norden",10.500,medium,
ins-107,"Soer-Korea resirkulerer 96,8% av 4,81 megatonn matavfall (2023)",cmmpax3t4002ou10dled3hd5b,"Matsvinn og sirkulaer okonomi i matsystemet: Nordisk komparativ analyse",19.600,high,
ins-107,"Soer-Korea resirkulerer 96,8% av 4,81 megatonn matavfall (2023)",cmmv9nxz10048w70dm4ig1vyf,"Nordiske avhandlinger og masteroppgaver om matsystemer, dagligvare og matpolitikk (2010–2026)",15.000,high,
ins-107,"Soer-Korea resirkulerer 96,8% av 4,81 megatonn matavfall (2023)",cmo87fgsv00b3q30d5rc4siyp,"Identifiser de 20 nordiske kommunene som er lengst framme på sirkulær matpolitikk:",11.700,medium,
ins-107,"Soer-Korea resirkulerer 96,8% av 4,81 megatonn matavfall (2023)",cmn5ibu8b000e1i0dct0a0k6p,"Nordisk sirkularitet — komparativ analyse",11.700,medium,
ins-107,"Soer-Korea resirkulerer 96,8% av 4,81 megatonn matavfall (2023)",cmo7gxgox0083060dg9rbv56k,"Nordiske og internasjonale benchmark-case for matsystemomstilling",11.500,medium,
ins-108,"Arla FarmAhead: -9,9% CO2/kg melk fra 2020-basislinjen innen 2025",cmo7gxgox0083060dg9rbv56k,"Nordiske og internasjonale benchmark-case for matsystemomstilling",7.000,low,
ins-108,"Arla FarmAhead: -9,9% CO2/kg melk fra 2020-basislinjen innen 2025",cmo7gxgsc008q060ddk0uz6og,"Nordiske og internasjonale benchmark-case for matsystemomstilling",7.000,low,
ins-108,"Arla FarmAhead: -9,9% CO2/kg melk fra 2020-basislinjen innen 2025",cmo87ffd2001kq30dr57jdi3c,"Nordiske og internasjonale benchmark-case for matsystemomstilling",7.000,low,
ins-108,"Arla FarmAhead: -9,9% CO2/kg melk fra 2020-basislinjen innen 2025",cmmpax3r2002ku10dulrezpar,"Nordisk Foredlingsindustri: Komparativ Analyse",4.500,low,
ins-108,"Arla FarmAhead: -9,9% CO2/kg melk fra 2020-basislinjen innen 2025",cmmpax3qc002ju10dpp2z5xxj,"Nordisk Primærproduksjon: Komparativ Analyse",4.500,low,
ins-109,"Brasil PNAE: 71,2% av kommuner naar 30%-familiebruk-krav — 120 000 familier, 40 mill elever",cmnyng10s000wd50deopby6ri,"Gjennomgang av arsrapporter -- nordiske dagligvareaktorer",14.700,medium,
ins-109,"Brasil PNAE: 71,2% av kommuner naar 30%-familiebruk-krav — 120 000 familier, 40 mill elever",cmmpax3rx002mu10d3imte3fi,"Innsatsvarer og oppstrøms verdikjeder i nordisk landbruk",7.500,low,
ins-109,"Brasil PNAE: 71,2% av kommuner naar 30%-familiebruk-krav — 120 000 familier, 40 mill elever",cmo87ffd2001kq30dr57jdi3c,"Nordiske og internasjonale benchmark-case for matsystemomstilling",7.000,low,
ins-109,"Brasil PNAE: 71,2% av kommuner naar 30%-familiebruk-krav — 120 000 familier, 40 mill elever",cmo7gxgox0083060dg9rbv56k,"Nordiske og internasjonale benchmark-case for matsystemomstilling",7.000,low,
ins-109,"Brasil PNAE: 71,2% av kommuner naar 30%-familiebruk-krav — 120 000 familier, 40 mill elever",cmo7gxgsc008q060ddk0uz6og,"Nordiske og internasjonale benchmark-case for matsystemomstilling",7.000,low,
ins-11,"Danmark bruker 62% av landarealet til jordbruk — hoyest i Norden",cmmxa66620033ty0d49joui46,"Markedskonsentrasjon i Skandinavia",24.000,high,y
ins-11,"Danmark bruker 62% av landarealet til jordbruk — hoyest i Norden",cmmpax3td002qu10dxrl7wdei,"Forbruksmonstre og matkonsum i Norden",15.600,high,
ins-11,"Danmark bruker 62% av landarealet til jordbruk — hoyest i Norden",cmmpax3t4002ou10dled3hd5b,"Matsvinn og sirkulaer okonomi i matsystemet: Nordisk komparativ analyse",15.300,high,
ins-11,"Danmark bruker 62% av landarealet til jordbruk — hoyest i Norden",cmmpax3so002nu10dnuztrpba,"Nordisk HoReCa og Storhusholdning: Komparativ Analyse (2024-2026)",12.000,medium,
ins-11,"Danmark bruker 62% av landarealet til jordbruk — hoyest i Norden",cmmpax3rs002lu10dr8rtsh2l,"Grossist, distribusjon og logistikkinfrastruktur i Norden",10.800,medium,
ins-110,"Framstillinger 2020-2026: to narrative poler — beredskap og kjoepekraft",cmo87ff59000aq30dug05vwd4,"Research Corpus Audit -- Food Systems 2026",6.000,low,
ins-110,"Framstillinger 2020-2026: to narrative poler — beredskap og kjoepekraft",cmn7lfl4d0004fy0d8rbhfxsd,"Research Corpus Audit -- Food Systems 2026",6.000,low,
ins-110,"Framstillinger 2020-2026: to narrative poler — beredskap og kjoepekraft",cmo87ffd7001lq30dfmstvw66,"Framstillinger av mat, makt og beredskap i norsk offentlighet",5.500,low,
ins-110,"Framstillinger 2020-2026: to narrative poler — beredskap og kjoepekraft",cmo7gxgri008l060dhkw8m6m3,"Framstillinger av mat, makt og beredskap i norsk offentlighet",5.500,low,
ins-110,"Framstillinger 2020-2026: to narrative poler — beredskap og kjoepekraft",cmo7gxgp20084060dvyxsojur,"Framstillinger av mat, makt og beredskap i norsk offentlighet",5.500,low,
ins-111,"Regulatorisk tidslinje 2024-2026 — 8 hoeydepunkter for dagligvarepolitikk",cmmpax3ox002hu10dhx3hp9mg,"Regulatorisk og politisk kartlegging: Nordiske matsystemer",7.600,low,
ins-111,"Regulatorisk tidslinje 2024-2026 — 8 hoeydepunkter for dagligvarepolitikk",cmo87fi6i00k1q30dh046ijuk,"Lag en komparativ analyse av suksess- og fiaskotilfeller i nordisk sirkulær mat i perioden 2015–2026. Minimum 15 case totalt.",5.700,low,
ins-111,"Regulatorisk tidslinje 2024-2026 — 8 hoeydepunkter for dagligvarepolitikk",cmo87fi8l00kiq30dv4w4v2xn,"Perplexity Promptpack — Møte 7 (20.04.2026)",5.400,low,
ins-111,"Regulatorisk tidslinje 2024-2026 — 8 hoeydepunkter for dagligvarepolitikk",cmo87ffd2001kq30dr57jdi3c,"Nordiske og internasjonale benchmark-case for matsystemomstilling",4.800,low,
