source_path,source_top_folder,filename,ext,size_bytes,modified_at,sha256,priority,project_fit,candidate_model,typed_layer_candidate,import_file_path,proposed_title,proposed_year,proposed_country,proposed_theme,proposed_doc_type,review_status,action,final_title,final_year,final_country,final_theme,final_doc_type,final_url,notes
Food Research Process 20.04.26/01_Data_And_Archives/ng-2025-12-31-1-no.zip,01_Data_And_Archives,ng-2025-12-31-1-no.zip,.zip,73263049,2026-04-20T11:50:18.980Z,76973467b2d182a5b8c14a9b133680f2bbf4eb9fef0e7f0b9a67a111de4ac9c7,P3,maybe,data-archive,none,incoming/food-research-process-2026-04-20/01-data-and-archives/76973467b2-ng-2025-12-31-1-no.zip,ng 2025 12 31 1 no,2025,,data-archives,,pending,hold,,,,,,,
Food Research Process 20.04.26/01_Data_And_Archives/ngasa-2023-12-31-no.zip.zip,01_Data_And_Archives,ngasa-2023-12-31-no.zip.zip,.zip,39005372,2026-04-20T11:50:08.167Z,afd79d56510a1a3984265e694cac5ff21ab2c65c327b340e9184f738371735ed,P3,maybe,data-archive,none,incoming/food-research-process-2026-04-20/01-data-and-archives/afd79d5651-ngasa-2023-12-31-no-zip.zip,ngasa 2023 12 31 no zip,2023,,data-archives,,pending,hold,,,,,,,
Food Research Process 20.04.26/01_Data_And_Archives/ngasa-2024-12-31-no.zip,01_Data_And_Archives,ngasa-2024-12-31-no.zip,.zip,57291751,2026-04-20T11:50:15.200Z,8db39c22432e1b5b572524bec1428671c0d353ca9e524148f72a1907ba716970,P3,maybe,data-archive,none,incoming/food-research-process-2026-04-20/01-data-and-archives/8db39c2243-ngasa-2024-12-31-no.zip,ngasa 2024 12 31 no,2024,,data-archives,,pending,hold,,,,,,,
Food Research Process 20.04.26/03_Policy_Governance_And_Market/2022-68-EMV-og-innovasjon-i-dagligvare-1.pdf,03_Policy_Governance_And_Market,2022-68-EMV-og-innovasjon-i-dagligvare-1.pdf,.pdf,729786,2026-04-20T13:41:40.378Z,227bb60d773e384f03d3c1d38c97d121c00bb94027d661395191df871a0f9626,P1,yes,report-candidate,report-or-source,incoming/food-research-process-2026-04-20/03-policy-governance-and-market/227bb60d77-2022-68-emv-og-innovasjon-i-dagligvare-1.pdf,2022 68 EMV og innovasjon i dagligvare 1,2022,,policy-governance-market,policy_report,pending,review,,,,,,,
Food Research Process 20.04.26/03_Policy_Governance_And_Market/20250326-salling-groups-erhvervelse-af-dele-af-coop-danmark-a.pdf,03_Policy_Governance_And_Market,20250326-salling-groups-erhvervelse-af-dele-af-coop-danmark-a.pdf,.pdf,2930052,2026-04-20T11:40:49.033Z,db15012312161f3f52ca60a44a6dec0d5971d6e8c0a9962250f3c2c86098cb79,P1,yes,report-candidate,report-or-source,incoming/food-research-process-2026-04-20/03-policy-governance-and-market/db15012312-20250326-salling-groups-erhvervelse-af-dele-af-coop-danmark-a.pdf,Salling Group A/S’ erhvervelse af dele af Coop Danmark A/S,,dk,policy-governance-market,policy_report,pending,review,,,,,,,
Food Research Process 20.04.26/03_Policy_Governance_And_Market/Aarsrapport-Dagligvaretilsynet-2023.pdf,03_Policy_Governance_And_Market,Aarsrapport-Dagligvaretilsynet-2023.pdf,.pdf,743009,2026-04-20T11:44:46.777Z,e3f33c5a47662e57b490199c17ebb5af3ba4bdff85111d9450100c2fe6e96f65,P1,yes,report-candidate,report-or-source,incoming/food-research-process-2026-04-20/03-policy-governance-and-market/e3f33c5a47-aarsrapport-dagligvaretilsynet-2023.pdf,Årsrapport for Dagligvaretilsynet               2023,2023,,policy-governance-market,policy_report,pending,review,,,,,,,
Food Research Process 20.04.26/03_Policy_Governance_And_Market/Aarsrapport-Dagligvaretilsynet-2024.pdf,03_Policy_Governance_And_Market,Aarsrapport-Dagligvaretilsynet-2024.pdf,.pdf,1000077,2026-04-20T11:44:43.431Z,283dd0683b0de538cd8bcec21f979e79bc886e7bcfa6d7434d0d004cca0547f9,P1,yes,report-candidate,report-or-source,incoming/food-research-process-2026-04-20/03-policy-governance-and-market/283dd0683b-aarsrapport-dagligvaretilsynet-2024.pdf,Årsrapport for Dagligvaretilsynet               2024,2024,,policy-governance-market,policy_report,pending,review,,,,,,,
Food Research Process 20.04.26/03_Policy_Governance_And_Market/Afgangsprojekt_HD1_Analyse_af_Salling_Group_AS_og_Coop_Danmark_AS.pdf,03_Policy_Governance_And_Market,Afgangsprojekt_HD1_Analyse_af_Salling_Group_AS_og_Coop_Danmark_AS.pdf,.pdf,470035,2026-04-20T11:43:10.030Z,9f8d0396d2dda16a512d8a54582df9287e4f044cc44bc01e421ecf75ef327b44,P1,yes,report-candidate,report-or-source,incoming/food-research-process-2026-04-20/03-policy-governance-and-market/9f8d0396d2-afgangsprojekt-hd1-analyse-af-salling-group-as-og-coop-danmark-as.pdf,Analyse af,,dk,policy-governance-market,policy_report,pending,review,,,,,,,
Food Research Process 20.04.26/03_Policy_Governance_And_Market/cibus_interim_report_q3_2025.pdf,03_Policy_Governance_And_Market,cibus_interim_report_q3_2025.pdf,.pdf,5762153,2026-04-20T08:24:56.983Z,e268bd87c1c467aadc590057cc2b2074cbc6e73dfcdf5703224f5c4e9f8dd0cb,P1,yes,report-candidate,report-or-source,incoming/food-research-process-2026-04-20/03-policy-governance-and-market/e268bd87c1-cibus-interim-report-q3-2025.pdf,cibus interim report q3 2025,2025,,policy-governance-market,policy_report,pending,review,,,,,,,
Food Research Process 20.04.26/03_Policy_Governance_And_Market/cibus_nordic_annual_report_2025.pdf,03_Policy_Governance_And_Market,cibus_nordic_annual_report_2025.pdf,.pdf,12195452,2026-04-20T08:24:37.562Z,cc26897195686809ee1539ec7c8bdf68459d48a8aea5e4a22c9446ef66bf067c,P1,yes,report-candidate,report-or-source,incoming/food-research-process-2026-04-20/03-policy-governance-and-market/cc26897195-cibus-nordic-annual-report-2025.pdf,cibus nordic annual report 2025,2025,nordic,policy-governance-market,policy_report,pending,review,,,,,,,
